n,ConditionsOfInterest,StandardValue1,StandardValue2,reps,PSE_Difference,JND_Difference,Multiplicator_PSE_Standard,Multiplicator_SD_Standard,SD_ResponseFunction,Mean_Variability_Between,SD_Variability_Between,power_Accuracy,power_Precision,power_Accuracy_Twolevel,power_Precision_Twolevel,Duration
10,2,5,8,40,-0.05,-0.2,0,0.108,0.1,0.1,0.1,1.0,0.35,1.0,0.39,366536 milliseconds
12,2,5,8,40,-0.05,-0.2,0,0.108,0.1,0.1,0.1,1.0,0.47,1.0,0.52,393495 milliseconds
14,2,5,8,40,-0.05,-0.2,0,0.108,0.1,0.1,0.1,1.0,0.57,1.0,0.63,470267 milliseconds
16,2,5,8,40,-0.05,-0.2,0,0.108,0.1,0.1,0.1,1.0,0.73,1.0,0.77,639694 milliseconds
18,2,5,8,40,-0.05,-0.2,0,0.108,0.1,0.1,0.1,1.0,0.62,1.0,0.66,693862 milliseconds
20,2,5,8,40,-0.05,-0.2,0,0.108,0.1,0.1,0.1,1.0,0.75,1.0,0.76,767594 milliseconds
