"","SD_ID_Intercept","SD_ID_Difference","SD_ID_CoI","SD_SV_Intercept","Label","SD_SV_Difference","SD_SV_CoI","Fixed_Effect_CoI","Fixed_Effect_Difference","Fixed_Effect_Interaction","AIC","SE_CoI","SE_Difference","SE_Interaction","Convergence"
"1",2,2,2,2,"0/0",2,2,0.296361605109365,0.42796205066457,0.0034731728238256,10249.4592290523,0.0313971749135035,0.0214564719454626,0.0306764548678062,TRUE
"2",0.604577149693573,2,2,2,"1/0",2,2,0.551090374242394,0.870595551440311,-0.0432404126904533,9542.43551985387,0.0340575273590771,0.0285513583353053,0.0321539379435127,TRUE
"3",0.614916841723327,0.0561935937499374,2,2,"Diff/0",2,2,0.55638054234955,0.852859824017676,-0.0172151868104483,9542.43551985387,0.0342401019084359,0.0361378971668186,0.0345228053312621,TRUE
"4",0.68117051441563,2,0.134520265772777,2,"Cond/0",2,2,0.53874198395227,0.929050403302666,-0.141464097170168,9542.43551985387,0.0530546805064046,0.0353523241495188,0.0468629185685704,TRUE
"5",0.762023579820662,0.114121356037164,0.222439820546435,2,"Diff+Cond/0",2,2,0.549007320650004,0.928149216303493,-0.140799721223533,9526.31506515607,0.0776632126682892,0.0521957009821764,0.0468542447461312,TRUE
"6",2,2,2,0,"0/1",2,2,0.296360946358921,0.427961973581252,0.00347251186702227,10251.4592290535,0.0530546805064046,0.0215920433961057,0.0468629185685704,TRUE
"7",0.604991023615283,2,2,0.0129756895391823,"1/1",2,2,0.551851577924569,0.870764629599999,-0.0420099934698312,9544.10203893057,0.0340922986200064,0.0285588396234483,0.0322321049529457,TRUE
"8",0.615514866826518,0.0553252183904134,2,0.00757013780286667,"Diff/1",2,2,0.556725937962945,0.853412664894585,-0.0170727789842772,9543.14825509182,0.034261170682514,0.0360989121851875,0.0345282352779462,TRUE
"9",0.680789437394158,0.133348737243576,0.133348737243576,0.00916108356936104,"Cond/1",2,2,0.53934515229668,0.928656437973193,-0.139760970814707,9539.90199589047,0.0528155489461234,0.0353646880626818,0.0470568168721228,TRUE
"10",0.762001803774086,0.114098562647723,0.22243181794506,1.92133680469542e-07,"Diff+Cond/1",2,2,0.548848586448182,0.928074153804641,-0.140808241371126,9528.3151114861,0.0776378324160636,0.0521801928221239,0.0468537052737142,TRUE
"11",2,2,2,0,"0/Diff",0.0676379082197944,2,0.304107837166878,0.44546322358777,0.00820474594834377,10241.6722033861,0.0315551792365078,0.0390532280544722,0.0306420693150389,FALSE
"12",0.644959938834773,2,2,0.00504776786948559,"1/Diff",0.169769514148049,2,0.586186420086878,0.943479122567607,-0.0364728909398898,9468.21936360703,0.0344698444228344,0.081200748291086,0.032112307624723,TRUE
"13",0.677623752370259,0.0614565952526636,2,0,"Diff/Diff",0.171612586797472,2,0.590938323359511,0.933763422591252,-0.0166817924724089,9466.3303042434,0.0346374243404885,0.0866299529056658,0.0344575098161728,FALSE
"14",0.725054520185435,0.140525859178416,0.140525859178416,0.00848303681589781,"Cond/Diff",0.171038838070836,2,0.57365770949473,1.00456961045242,-0.138620346859717,9463.2297961984,0.0547246575351735,0.0843636433499714,0.0469068727233461,TRUE
"15",0.826448885887484,0.121172213471695,0.228428559310732,0.0169041985771279,"Diff+Cond/Diff",0.176295078695692,2,0.585450351964788,1.00838325748887,-0.137625627129356,9450.1480321073,0.0794066247623775,0.0962286299391546,0.0469178073683971,TRUE
"16",2,2,2,0.014616768742015,"0/Cond",2,0.0176022766196202,0.296349475289255,0.427984774907525,0.00342529341529272,10255.2368323761,0.0347237598187969,0.021596907538345,0.0308583932984301,TRUE
"17",0.606885550854519,2,2,0,"1/Cond",2,0.0385499209441086,0.554956751723283,0.872366620566751,-0.0397540374743921,9546.84334129465,0.0414687158081928,0.0285944716438255,0.0322911268325449,FALSE
"18",0.618263598450762,0.0551194251646533,2,0.0160765658865624,"Diff/Cond",2,0.0510816426104004,0.560013951378804,0.855445886133239,-0.0151120899458082,9545.68979323997,0.0459944249744081,0.0362079257151117,0.0346150447815707,TRUE
