n,ConditionsOfInterest,StandardValue1,StandardValue2,reps,PSE_Difference,JND_Difference,Multiplicator_PSE_Standard,Multiplicator_SD_Standard,SD_ResponseFunction,Mean_Variability_Between,SD_Variability_Between,power_Accuracy,power_Precision,power_Accuracy_Twolevel,power_Precision_Twolevel,Duration
18,2,5,8,70,0,0.1,0,0.108,0.1,0.2,0.2,0.01,0.19,0,0.29,17.13296338
20,2,5,8,70,0,0.1,0,0.108,0.1,0.2,0.2,0.02,0.23,0,0.4,19.03206457
10,2,5,8,70,0.025,-0.1,0,0.108,0.1,0.2,0.2,0.76,0.18,0.12,0.19,9.561849701
12,2,5,8,70,0.025,-0.1,0,0.108,0.1,0.2,0.2,0.89,0.21,0.16,0.25,11.4507633
14,2,5,8,70,0.025,-0.1,0,0.108,0.1,0.2,0.2,0.88,0.2,0.25,0.29,12.97757242
16,2,5,8,70,0.025,-0.1,0,0.108,0.1,0.2,0.2,0.96,0.21,0.24,0.27,15.49278153
18,2,5,8,70,0.025,-0.1,0,0.108,0.1,0.2,0.2,0.97,0.26,0.35,0.33,18.16347222
20,2,5,8,70,0.025,-0.1,0,0.108,0.1,0.2,0.2,0.99,0.29,0.5,0.41,19.87617228
10,2,5,8,70,0.025,-0.05,0,0.108,0.1,0.2,0.2,0.89,0.04,0.1,0.06,9.373482867
12,2,5,8,70,0.025,-0.05,0,0.108,0.1,0.2,0.2,0.89,0.04,0.19,0.04,10.71234528
14,2,5,8,70,0.025,-0.05,0,0.108,0.1,0.2,0.2,0.96,0.06,0.28,0.07,12.66841867
16,2,5,8,70,0.025,-0.05,0,0.108,0.1,0.2,0.2,0.99,0.13,0.27,0.11,15.58880387
18,2,5,8,70,0.025,-0.05,0,0.108,0.1,0.2,0.2,0.97,0.11,0.5,0.1,16.76466173
20,2,5,8,70,0.025,-0.05,0,0.108,0.1,0.2,0.2,0.99,0.06,0.44,0.1,19.15017113
10,2,5,8,70,0.025,0,0,0.108,0.1,0.2,0.2,0.87,0.04,0.15,0.02,9.267013967
12,2,5,8,70,0.025,0,0,0.108,0.1,0.2,0.2,0.96,0.03,0.21,0.03,10.96664099
14,2,5,8,70,0.025,0,0,0.108,0.1,0.2,0.2,0.95,0.06,0.25,0.04,13.47167554
16,2,5,8,70,0.025,0,0,0.108,0.1,0.2,0.2,0.99,0.04,0.29,0.06,14.82922767
18,2,5,8,70,0.025,0,0,0.108,0.1,0.2,0.2,0.98,0.03,0.36,0.03,16.89503661
20,2,5,8,70,0.025,0,0,0.108,0.1,0.2,0.2,0.97,0.06,0.44,0.03,19.08052813
10,2,5,8,70,0.025,0.05,0,0.108,0.1,0.2,0.2,0.87,0.06,0.11,0.05,9.209504867
12,2,5,8,70,0.025,0.05,0,0.108,0.1,0.2,0.2,0.94,0.07,0.16,0.11,11.16839012
14,2,5,8,70,0.025,0.05,0,0.108,0.1,0.2,0.2,0.96,0.06,0.22,0.05,12.92390333
16,2,5,8,70,0.025,0.05,0,0.108,0.1,0.2,0.2,0.97,0.07,0.34,0.03,15.13782872
18,2,5,8,70,0.025,0.05,0,0.108,0.1,0.2,0.2,0.99,0.05,0.42,0.09,17.08602703
20,2,5,8,70,0.025,0.05,0,0.108,0.1,0.2,0.2,0.99,0.06,0.43,0.05,19.055615
10,2,5,8,70,0.025,0.1,0,0.108,0.1,0.2,0.2,0.8,0.17,0.15,0.1,9.010203016
12,2,5,8,70,0.025,0.1,0,0.108,0.1,0.2,0.2,0.81,0.11,0.19,0.18,10.594311
14,2,5,8,70,0.025,0.1,0,0.108,0.1,0.2,0.2,0.93,0.17,0.3,0.22,12.8233415
16,2,5,8,70,0.025,0.1,0,0.108,0.1,0.2,0.2,0.97,0.21,0.26,0.24,15.54485586
18,2,5,8,70,0.025,0.1,0,0.108,0.1,0.2,0.2,0.99,0.17,0.36,0.22,16.48385303
20,2,5,8,70,0.025,0.1,0,0.108,0.1,0.2,0.2,0.97,0.27,0.45,0.27,19.70003192
10,2,5,8,70,0.05,-0.1,0,0.108,0.1,0.2,0.2,0.98,0.13,0.9,0.22,10.03265272
12,2,5,8,70,0.05,-0.1,0,0.108,0.1,0.2,0.2,0.99,0.26,0.97,0.25,11.54638185
14,2,5,8,70,0.05,-0.1,0,0.108,0.1,0.2,0.2,1,0.15,0.99,0.2,14.08185685
16,2,5,8,70,0.05,-0.1,0,0.108,0.1,0.2,0.2,1,0.24,1,0.3,15.72946325
18,2,5,8,70,0.05,-0.1,0,0.108,0.1,0.2,0.2,1,0.28,0.99,0.36,17.14236572
20,2,5,8,70,0.05,-0.1,0,0.108,0.1,0.2,0.2,1,0.27,1,0.34,20.37922212
10,2,5,8,70,0.05,-0.05,0,0.108,0.1,0.2,0.2,1,0.03,0.9,0.04,9.36904875
12,2,5,8,70,0.05,-0.05,0,0.108,0.1,0.2,0.2,1,0.09,0.98,0.05,12.27016503
14,2,5,8,70,0.05,-0.05,0,0.108,0.1,0.2,0.2,1,0.07,0.98,0.07,13.45250758
16,2,5,8,70,0.05,-0.05,0,0.108,0.1,0.2,0.2,1,0.12,1,0.1,15.39932253
18,2,5,8,70,0.05,-0.05,0,0.108,0.1,0.2,0.2,1,0.13,1,0.09,18.86699068
20,2,5,8,70,0.05,-0.05,0,0.108,0.1,0.2,0.2,1,0.12,0.99,0.09,20.12737598
10,2,5,8,70,0.05,0,0,0.108,0.1,0.2,0.2,1,0.07,0.88,0.03,9.236260502
12,2,5,8,70,0.05,0,0,0.108,0.1,0.2,0.2,1,0.05,0.96,0.07,11.39514391
14,2,5,8,70,0.05,0,0,0.108,0.1,0.2,0.2,1,0.06,0.98,0.03,13.69437667
16,2,5,8,70,0.05,0,0,0.108,0.1,0.2,0.2,1,0.03,0.99,0.02,16.29180448
18,2,5,8,70,0.05,0,0,0.108,0.1,0.2,0.2,1,0.01,1,0.02,17.0792718
20,2,5,8,70,0.05,0,0,0.108,0.1,0.2,0.2,1,0.03,1,0.05,19.63758213
10,2,5,8,70,0.05,0.05,0,0.108,0.1,0.2,0.2,1,0.08,0.85,0.06,9.493256402
12,2,5,8,70,0.05,0.05,0,0.108,0.1,0.2,0.2,1,0.06,0.99,0.07,11.39870232
14,2,5,8,70,0.05,0.05,0,0.108,0.1,0.2,0.2,1,0.07,0.99,0.07,12.96414437
16,2,5,8,70,0.05,0.05,0,0.108,0.1,0.2,0.2,1,0.06,0.98,0.05,15.26391047
18,2,5,8,70,0.05,0.05,0,0.108,0.1,0.2,0.2,1,0.07,1,0.05,17.27712644
20,2,5,8,70,0.05,0.05,0,0.108,0.1,0.2,0.2,1,0.03,0.98,0.04,19.75534695
10,2,5,8,70,0.05,0.1,0,0.108,0.1,0.2,0.2,1,0.09,0.89,0.12,8.917416433
12,2,5,8,70,0.05,0.1,0,0.108,0.1,0.2,0.2,1,0.17,0.94,0.21,10.85452325
14,2,5,8,70,0.05,0.1,0,0.108,0.1,0.2,0.2,1,0.27,1,0.23,13.22168882
16,2,5,8,70,0.05,0.1,0,0.108,0.1,0.2,0.2,1,0.21,0.98,0.2,14.36251648
18,2,5,8,70,0.05,0.1,0,0.108,0.1,0.2,0.2,1,0.21,0.99,0.2,17.16990052
20,2,5,8,70,0.05,0.1,0,0.108,0.1,0.2,0.2,1,0.14,0.99,0.2,19.27697477
