n,ConditionsOfInterest,StandardValue1,StandardValue2,reps,PSE_Difference,JND_Difference,Multiplicator_PSE_Standard,Multiplicator_SD_Standard,SD_ResponseFunction,Mean_Variability_Between,SD_Variability_Between,power_Accuracy,power_Precision,power_Accuracy_Twolevel,power_Precision_Twolevel,Duration
10,2,5,8,40,-0.05,0.25,0,0.108,0.1,0.1,0.1,1.0,0.18,0.98,0.57,217881 milliseconds
12,2,5,8,40,-0.05,0.25,0,0.108,0.1,0.1,0.1,1.0,0.26,1.0,0.62,260484 milliseconds
14,2,5,8,40,-0.05,0.25,0,0.108,0.1,0.1,0.1,1.0,0.23,0.99,0.57,305876 milliseconds
16,2,5,8,40,-0.05,0.25,0,0.108,0.1,0.1,0.1,1.0,0.27,1.0,0.65,382869 milliseconds
18,2,5,8,40,-0.05,0.25,0,0.108,0.1,0.1,0.1,1.0,0.34,1.0,0.76,435834 milliseconds
20,2,5,8,40,-0.05,0.25,0,0.108,0.1,0.1,0.1,1.0,0.23,1.0,0.81,479187 milliseconds
10,2,5,8,40,-0.05,0.5,0,0.108,0.1,0.1,0.1,1.0,0.55,0.96,0.92,216245 milliseconds
12,2,5,8,40,-0.05,0.5,0,0.108,0.1,0.1,0.1,1.0,0.61,0.95,0.96,261655 milliseconds
14,2,5,8,40,-0.05,0.5,0,0.108,0.1,0.1,0.1,1.0,0.67,0.99,0.98,303437 milliseconds
16,2,5,8,40,-0.05,0.5,0,0.108,0.1,0.1,0.1,1.0,0.68,0.99,0.97,378081 milliseconds
18,2,5,8,40,-0.05,0.5,0,0.108,0.1,0.1,0.1,1.0,0.82,1.0,1.0,422309 milliseconds
20,2,5,8,40,-0.05,0.5,0,0.108,0.1,0.1,0.1,1.0,0.81,0.99,0.98,477609 milliseconds
10,2,5,8,40,0.0,-0.5,0,0.108,0.1,0.1,0.1,1.0,0.91,0.04,1.0,224209 milliseconds
12,2,5,8,40,0.0,-0.5,0,0.108,0.1,0.1,0.1,1.0,0.87,0.0,1.0,272495 milliseconds
14,2,5,8,40,0.0,-0.5,0,0.108,0.1,0.1,0.1,1.0,0.99,0.01,1.0,312719 milliseconds
16,2,5,8,40,0.0,-0.5,0,0.108,0.1,0.1,0.1,1.0,0.97,0.01,1.0,405214 milliseconds
18,2,5,8,40,0.0,-0.5,0,0.108,0.1,0.1,0.1,1.0,0.99,0.02,1.0,455080 milliseconds
20,2,5,8,40,0.0,-0.5,0,0.108,0.1,0.1,0.1,1.0,0.99,0.0,1.0,510936 milliseconds
10,2,5,8,40,0.0,-0.25,0,0.108,0.1,0.1,0.1,1.0,0.32,0.03,0.63,221587 milliseconds
12,2,5,8,40,0.0,-0.25,0,0.108,0.1,0.1,0.1,1.0,0.51,0.02,0.77,266431 milliseconds
14,2,5,8,40,0.0,-0.25,0,0.108,0.1,0.1,0.1,1.0,0.45,0.0,0.86,307756 milliseconds
16,2,5,8,40,0.0,-0.25,0,0.108,0.1,0.1,0.1,1.0,0.58,0.01,0.85,390094 milliseconds
18,2,5,8,40,0.0,-0.25,0,0.108,0.1,0.1,0.1,1.0,0.64,0.03,0.93,442067 milliseconds
20,2,5,8,40,0.0,-0.25,0,0.108,0.1,0.1,0.1,1.0,0.61,0.0,0.9,502179 milliseconds
10,2,5,8,40,0.0,0.0,0,0.108,0.1,0.1,0.1,1.0,0.05,0.01,0.07,219091 milliseconds
12,2,5,8,40,0.0,0.0,0,0.108,0.1,0.1,0.1,1.0,0.04,0.0,0.09,264361 milliseconds
14,2,5,8,40,0.0,0.0,0,0.108,0.1,0.1,0.1,1.0,0.1,0.03,0.12,307971 milliseconds
16,2,5,8,40,0.0,0.0,0,0.108,0.1,0.1,0.1,1.0,0.06,0.0,0.07,384558 milliseconds
18,2,5,8,40,0.0,0.0,0,0.108,0.1,0.1,0.1,1.0,0.05,0.04,0.02,428849 milliseconds
20,2,5,8,40,0.0,0.0,0,0.108,0.1,0.1,0.1,1.0,0.08,0.02,0.04,490135 milliseconds
10,2,5,8,40,0.0,0.25,0,0.108,0.1,0.1,0.1,1.0,0.25,0.01,0.41,216302 milliseconds
12,2,5,8,40,0.0,0.25,0,0.108,0.1,0.1,0.1,1.0,0.36,0.04,0.56,261412 milliseconds
14,2,5,8,40,0.0,0.25,0,0.108,0.1,0.1,0.1,1.0,0.34,0.04,0.65,306807 milliseconds
16,2,5,8,40,0.0,0.25,0,0.108,0.1,0.1,0.1,1.0,0.33,0.02,0.65,379547 milliseconds
18,2,5,8,40,0.0,0.25,0,0.108,0.1,0.1,0.1,1.0,0.45,0.01,0.7,430991 milliseconds
20,2,5,8,40,0.0,0.25,0,0.108,0.1,0.1,0.1,1.0,0.41,0.01,0.74,477332 milliseconds
10,2,5,8,40,0.0,0.5,0,0.108,0.1,0.1,0.1,1.0,0.67,0.03,0.92,218421 milliseconds
12,2,5,8,40,0.0,0.5,0,0.108,0.1,0.1,0.1,1.0,0.7,0.01,0.98,261522 milliseconds
14,2,5,8,40,0.0,0.5,0,0.108,0.1,0.1,0.1,1.0,0.74,0.01,0.98,307026 milliseconds
16,2,5,8,40,0.0,0.5,0,0.108,0.1,0.1,0.1,1.0,0.8,0.0,0.96,375157 milliseconds
18,2,5,8,40,0.0,0.5,0,0.108,0.1,0.1,0.1,1.0,0.86,0.01,0.97,425116 milliseconds
20,2,5,8,40,0.0,0.5,0,0.108,0.1,0.1,0.1,1.0,0.87,0.02,1.0,475808 milliseconds
10,2,5,8,40,0.05,-0.5,0,0.108,0.1,0.1,0.1,1.0,0.79,1.0,1.0,223934 milliseconds
12,2,5,8,40,0.05,-0.5,0,0.108,0.1,0.1,0.1,1.0,0.86,1.0,1.0,273959 milliseconds
14,2,5,8,40,0.05,-0.5,0,0.108,0.1,0.1,0.1,1.0,0.88,1.0,1.0,319953 milliseconds
16,2,5,8,40,0.05,-0.5,0,0.108,0.1,0.1,0.1,1.0,0.93,1.0,1.0,399248 milliseconds
18,2,5,8,40,0.05,-0.5,0,0.108,0.1,0.1,0.1,1.0,0.91,1.0,1.0,456268 milliseconds
20,2,5,8,40,0.05,-0.5,0,0.108,0.1,0.1,0.1,1.0,0.97,1.0,1.0,501661 milliseconds
10,2,5,8,40,0.05,-0.25,0,0.108,0.1,0.1,0.1,1.0,0.29,1.0,0.67,218885 milliseconds
12,2,5,8,40,0.05,-0.25,0,0.108,0.1,0.1,0.1,1.0,0.2,1.0,0.81,264834 milliseconds
14,2,5,8,40,0.05,-0.25,0,0.108,0.1,0.1,0.1,1.0,0.28,1.0,0.87,313822 milliseconds
16,2,5,8,40,0.05,-0.25,0,0.108,0.1,0.1,0.1,1.0,0.4,1.0,0.86,395298 milliseconds
18,2,5,8,40,0.05,-0.25,0,0.108,0.1,0.1,0.1,1.0,0.36,1.0,0.9,456033 milliseconds
20,2,5,8,40,0.05,-0.25,0,0.108,0.1,0.1,0.1,1.0,0.37,1.0,0.9,492285 milliseconds
10,2,5,8,40,0.05,0.0,0,0.108,0.1,0.1,0.1,1.0,0.09,0.97,0.06,218860 milliseconds
12,2,5,8,40,0.05,0.0,0,0.108,0.1,0.1,0.1,1.0,0.08,1.0,0.1,262937 milliseconds
14,2,5,8,40,0.05,0.0,0,0.108,0.1,0.1,0.1,1.0,0.07,1.0,0.02,309017 milliseconds
16,2,5,8,40,0.05,0.0,0,0.108,0.1,0.1,0.1,1.0,0.1,1.0,0.09,385254 milliseconds
18,2,5,8,40,0.05,0.0,0,0.108,0.1,0.1,0.1,1.0,0.07,1.0,0.06,439352 milliseconds
20,2,5,8,40,0.05,0.0,0,0.108,0.1,0.1,0.1,1.0,0.13,1.0,0.04,498443 milliseconds
10,2,5,8,40,0.05,0.25,0,0.108,0.1,0.1,0.1,1.0,0.38,0.97,0.48,217726 milliseconds
12,2,5,8,40,0.05,0.25,0,0.108,0.1,0.1,0.1,1.0,0.47,0.99,0.49,261240 milliseconds
14,2,5,8,40,0.05,0.25,0,0.108,0.1,0.1,0.1,1.0,0.59,1.0,0.57,308014 milliseconds
16,2,5,8,40,0.05,0.25,0,0.108,0.1,0.1,0.1,1.0,0.64,1.0,0.6,377034 milliseconds
18,2,5,8,40,0.05,0.25,0,0.108,0.1,0.1,0.1,1.0,0.53,1.0,0.65,435243 milliseconds
20,2,5,8,40,0.05,0.25,0,0.108,0.1,0.1,0.1,1.0,0.63,1.0,0.65,476311 milliseconds
10,2,5,8,40,0.05,0.5,0,0.108,0.1,0.1,0.1,1.0,0.78,0.94,0.89,216797 milliseconds
12,2,5,8,40,0.05,0.5,0,0.108,0.1,0.1,0.1,1.0,0.86,0.95,0.92,261397 milliseconds
14,2,5,8,40,0.05,0.5,0,0.108,0.1,0.1,0.1,1.0,0.92,0.97,0.97,307562 milliseconds
16,2,5,8,40,0.05,0.5,0,0.108,0.1,0.1,0.1,1.0,0.96,1.0,1.0,381124 milliseconds
18,2,5,8,40,0.05,0.5,0,0.108,0.1,0.1,0.1,1.0,0.96,1.0,1.0,429933 milliseconds
20,2,5,8,40,0.05,0.5,0,0.108,0.1,0.1,0.1,1.0,0.95,1.0,0.99,480943 milliseconds
10,2,5,8,40,0.01,-0.5,0,0.108,0.1,0.1,0.1,1.0,0.89,0.08,1.0,222447 milliseconds
12,2,5,8,40,0.01,-0.5,0,0.108,0.1,0.1,0.1,1.0,0.92,0.1,1.0,267037 milliseconds
14,2,5,8,40,0.01,-0.5,0,0.108,0.1,0.1,0.1,1.0,0.97,0.14,1.0,319885 milliseconds
16,2,5,8,40,0.01,-0.5,0,0.108,0.1,0.1,0.1,1.0,0.94,0.09,1.0,412453 milliseconds
18,2,5,8,40,0.01,-0.5,0,0.108,0.1,0.1,0.1,1.0,0.99,0.15,1.0,454766 milliseconds
20,2,5,8,40,0.01,-0.5,0,0.108,0.1,0.1,0.1,1.0,0.96,0.13,1.0,508481 milliseconds
10,2,5,8,40,0.01,-0.25,0,0.108,0.1,0.1,0.1,1.0,0.37,0.09,0.73,222016 milliseconds
12,2,5,8,40,0.01,-0.25,0,0.108,0.1,0.1,0.1,1.0,0.4,0.09,0.76,267080 milliseconds
14,2,5,8,40,0.01,-0.25,0,0.108,0.1,0.1,0.1,1.0,0.47,0.09,0.83,313483 milliseconds
16,2,5,8,40,0.01,-0.25,0,0.108,0.1,0.1,0.1,1.0,0.5,0.08,0.82,395292 milliseconds
18,2,5,8,40,0.01,-0.25,0,0.108,0.1,0.1,0.1,1.0,0.51,0.14,0.97,442684 milliseconds
20,2,5,8,40,0.01,-0.25,0,0.108,0.1,0.1,0.1,1.0,0.5,0.16,0.94,501953 milliseconds
10,2,5,8,40,0.01,0.0,0,0.108,0.1,0.1,0.1,1.0,0.05,0.09,0.05,218191 milliseconds
12,2,5,8,40,0.01,0.0,0,0.108,0.1,0.1,0.1,1.0,0.09,0.1,0.04,262547 milliseconds
14,2,5,8,40,0.01,0.0,0,0.108,0.1,0.1,0.1,1.0,0.1,0.08,0.09,309006 milliseconds
16,2,5,8,40,0.01,0.0,0,0.108,0.1,0.1,0.1,1.0,0.05,0.1,0.05,384124 milliseconds
18,2,5,8,40,0.01,0.0,0,0.108,0.1,0.1,0.1,1.0,0.04,0.13,0.03,429628 milliseconds
20,2,5,8,40,0.01,0.0,0,0.108,0.1,0.1,0.1,1.0,0.06,0.1,0.08,492530 milliseconds
