"","value","label","reps","PSE_Difference","JND_Difference","nSubjects"
"1",1,"Accuracy GLMM",55,-0.1,0.3,10
"2",0.24,"Precision GLMM",55,-0.1,0.3,10
"3",0.925,"Accuracy Two-Level",55,-0.1,0.3,10
"4",0.675,"Precision Two-Level",55,-0.1,0.3,10
"5",1,"Accuracy Two-Level LMM",55,-0.1,0.3,10
"6",0.715,"Precision Two-Level LMM",55,-0.1,0.3,10
"7",1,"Accuracy GLMM",55,-0.1,0.3,12
"8",0.305,"Precision GLMM",55,-0.1,0.3,12
"9",0.97,"Accuracy Two-Level",55,-0.1,0.3,12
"10",0.755,"Precision Two-Level",55,-0.1,0.3,12
"11",1,"Accuracy Two-Level LMM",55,-0.1,0.3,12
"12",0.795,"Precision Two-Level LMM",55,-0.1,0.3,12
"13",1,"Accuracy GLMM",55,-0.1,0.3,14
"14",0.42,"Precision GLMM",55,-0.1,0.3,14
"15",1,"Accuracy Two-Level",55,-0.1,0.3,14
"16",0.88,"Precision Two-Level",55,-0.1,0.3,14
"17",1,"Accuracy Two-Level LMM",55,-0.1,0.3,14
"18",0.885,"Precision Two-Level LMM",55,-0.1,0.3,14
"19",1,"Accuracy GLMM",55,-0.1,0.3,16
"20",0.385,"Precision GLMM",55,-0.1,0.3,16
"21",0.995,"Accuracy Two-Level",55,-0.1,0.3,16
"22",0.835,"Precision Two-Level",55,-0.1,0.3,16
"23",1,"Accuracy Two-Level LMM",55,-0.1,0.3,16
"24",0.865,"Precision Two-Level LMM",55,-0.1,0.3,16
"25",1,"Accuracy GLMM",55,-0.1,0.3,18
"26",0.405,"Precision GLMM",55,-0.1,0.3,18
"27",1,"Accuracy Two-Level",55,-0.1,0.3,18
"28",0.925,"Precision Two-Level",55,-0.1,0.3,18
"29",1,"Accuracy Two-Level LMM",55,-0.1,0.3,18
"30",0.95,"Precision Two-Level LMM",55,-0.1,0.3,18
"31",1,"Accuracy GLMM",55,-0.1,0.3,20
"32",0.415,"Precision GLMM",55,-0.1,0.3,20
"33",1,"Accuracy Two-Level",55,-0.1,0.3,20
"34",0.935,"Precision Two-Level",55,-0.1,0.3,20
"35",1,"Accuracy Two-Level LMM",55,-0.1,0.3,20
"36",0.945,"Precision Two-Level LMM",55,-0.1,0.3,20
