iteration,reps,n,label,AIC,Pvalues_Accuracy,Pvalues_Interaction,Duration,ConditionsOfInterest,StandardValue1,StandardValue2,PSE_Difference,JND_Difference,Multiplicator_PSE_Standard,Multiplicator_SD_Standard,SD_ResponseFunction,Mean_Variability_Between,SD_Variability_Between,Program
4,30,10,NelderMead_nAGQ1,978.7962554794535,0.9547368656232386,0.6196763449549499,9.346187829971313,2,5,8,0,0,0,0.108,0.1,0.1,0.1,R
4,30,10,Bobyqa_nAGQ0,978.8133359738032,0.9519259688097299,0.5100876176549445,1.3248839378356934,2,5,8,0,0,0,0.108,0.1,0.1,0.1,R
4,30,10,Bobyqa_nAGQ1,978.7959166008932,0.9533455644234647,0.6198392851308283,4.267493963241577,2,5,8,0,0,0,0.108,0.1,0.1,0.1,R
4,30,10,nloptwrap_nAGQ0,978.8157951371876,0.9514799722819721,0.5093370189764983,0.9059789180755615,2,5,8,0,0,0,0.108,0.1,0.1,0.1,R
4,30,10,nloptwrap_nAGQ1,978.7998944268145,0.9501992559559279,0.6147071741825474,1.9839329719543457,2,5,8,0,0,0,0.108,0.1,0.1,0.1,R
4,30,10,JuliaAIC_NeldMeader_AGP0,978.8087108428591,0.951332922913557,0.518115960597008,9.592,2,5,8,0,0,0,0.108,0.1,0.1,0.1,Julia
4,30,10,JuliaAIC_bobyqa_AGP0,978.8087107187084,0.9513334161052168,0.5181583939983245,0.515,2,5,8,0,0,0,0.108,0.1,0.1,0.1,Julia
4,30,10,JuliaAIC_NeldMeader_AGP1,978.795934252082,0.9522372753756325,0.4892460284505363,7.844,2,5,8,0,0,0,0.108,0.1,0.1,0.1,Julia
4,30,10,JuliaAIC_bobyqa_AGP1,979.1037775271283,0.9868156175879518,0.4796330617856409,1.642,2,5,8,0,0,0,0.108,0.1,0.1,0.1,Julia
5,30,10,NelderMead_nAGQ0,1030.9721487783697,0.6513020932273714,0.2000000415145356,3.4991750717163086,2,5,8,0,0,0,0.108,0.1,0.1,0.1,R
5,30,10,NelderMead_nAGQ1,1030.9541336937234,0.6589589986400122,0.28048002587208365,6.827870845794678,2,5,8,0,0,0,0.108,0.1,0.1,0.1,R
5,30,10,Bobyqa_nAGQ0,1030.9721487783697,0.6513020932273714,0.2000000415145356,3.4859859943389893,2,5,8,0,0,0,0.108,0.1,0.1,0.1,R
5,30,10,Bobyqa_nAGQ1,1030.9541279741113,0.6590796428645558,0.28051059457040256,6.249971866607666,2,5,8,0,0,0,0.108,0.1,0.1,0.1,R
5,30,10,nloptwrap_nAGQ0,1030.972332853049,0.6509665985971955,0.19900076452897095,0.7969770431518555,2,5,8,0,0,0,0.108,0.1,0.1,0.1,R
5,30,10,nloptwrap_nAGQ1,1030.9544451006782,0.6621335672662327,0.2803772964670447,1.9058020114898682,2,5,8,0,0,0,0.108,0.1,0.1,0.1,R
5,30,10,JuliaAIC_NeldMeader_AGP0,1031.0234962998143,0.6596719090580283,0.21130082381394766,10.063,2,5,8,0,0,0,0.108,0.1,0.1,0.1,Julia
