"","SD_ID_Intercept","SD_ID_Difference","SD_ID_CoI","SD_SV_Intercept","Label","SD_SV_Difference","SD_SV_CoI","Fixed_Effect_CoI","Fixed_Effect_Difference","Fixed_Effect_Interaction","AIC","SE_CoI","SE_Difference","SE_Interaction","Convergence"
"1",2,2,2,2,"0/0",2,2,0.218685021715026,0.363356166158886,-0.00821748382300809,10484.4034369418,0.0329866322527454,0.0210677010537311,0.0296852844036672,TRUE
"2",0.648483874273205,2,2,2,"1/0",2,2,0.487333237652,0.865723389623365,-0.0656089152518604,9734.37171332934,0.0358441285943444,0.0295652187379095,0.0312530627194856,TRUE
"3",0.591922841598396,0.0738684134763618,2,2,"Diff/0",2,2,0.502142195461196,0.840293451020784,-0.0295758300554149,9734.37171332934,0.0363520438346435,0.0380817055685326,0.0334809087313392,TRUE
"4",0.798762812672827,2,0.258464561243166,2,"Cond/0",2,2,0.414927073029016,0.987402549095624,-0.263892494648467,9734.37171332934,0.0866307095816795,0.0382144742649394,0.0489626336649304,TRUE
"5",0.754021084681742,0.124679528417269,0.330835056158998,2,"Diff+Cond/0",2,2,0.424164539725627,0.978979949386222,-0.256083638555133,9692.61663682295,0.106806358171084,0.0544250922245818,0.0488639294287986,TRUE
"6",2,2,2,0.024521569242505,"0/1",2,2,0.220826388466379,0.363873502983498,-0.00580693117283528,10485.0601372337,0.0866307095816795,0.0212138767439312,0.0489626336649304,TRUE
"7",0.658949559137352,2,2,0.0808083090042681,"1/1",2,2,0.499129840005966,0.876629375702378,-0.0590793360324073,9718.36874295256,0.0360446602796021,0.0297560712416588,0.0313473217775056,TRUE
"8",0.614432682772997,0.0554009932983915,2,0.0730811179367791,"Diff/1",2,2,0.509236534132111,0.856590311766923,-0.0327147225289736,9717.52436086549,0.036458601236535,0.0354908221943996,0.0335590468077563,TRUE
"9",0.803994921082638,0.249897730205715,0.249897730205715,0.076916699737344,"Cond/1",2,2,0.428173187562586,0.994142904625138,-0.251452737182028,9695.86190358396,0.0845274860961775,0.038345206121122,0.0491409704022714,TRUE
"10",0.763397583301014,0.108300084034577,0.31529389602431,0.0614324066882808,"Diff+Cond/1",2,2,0.433269991493982,0.98626091108071,-0.248295471996282,9685.23420199201,0.102622590075994,0.0513710739976547,0.0490386010426208,TRUE
"11",2,2,2,0.0174953191792209,"0/Diff",0.0487302722329477,2,0.226965296587152,0.376650205564385,-0.00217234947866413,10481.6639874008,0.0332757761781993,0.0319766036862084,0.0298428951665795,TRUE
"12",0.69547866121649,2,2,0,"1/Diff",0.167666152670681,2,0.53073410802691,0.946043165120471,-0.0553566768475651,9658.64936110883,0.0363720200371318,0.0806337103006298,0.031205343951887,FALSE
"13",0.68719807941409,0.0276706484545525,2,0.0243119663668447,"Diff/Diff",0.155939626892396,2,0.535153698695488,0.9385304179142,-0.0455615691666804,9659.73788298079,0.0366748062866256,0.0783173096844474,0.033608827912931,TRUE
"14",0.841696553013753,0.251273225604253,0.251273225604253,0.0220772308605884,"Cond/Diff",0.157092617375723,2,0.461056823160233,1.06166765703854,-0.246167621017667,9634.21057397105,0.0849839713716004,0.0800305465086929,0.0490570715268115,TRUE
"15",0.821069174399009,0.0782087939508561,0.293862203532223,0.0156331859416832,"Diff+Cond/Diff",0.14993505238223,2,0.463992221807634,1.05434080438296,-0.243645064273923,9632.8459914644,0.0969161641873788,0.0826638838884022,0.0490963435816995,TRUE
"16",2,2,2,0.0255886701624206,"0/Cond",2,0.00208295114216537,0.220710483398854,0.363896803662134,-0.00595318198621724,10489.0527899031,0.0332530393433081,0.0212165011793607,0.0299361826267385,TRUE
"17",0.6604226761092,2,2,0.0631938976507739,"1/Cond",2,0.0370366507012085,0.502619735006098,0.877221162646004,-0.056058942516887,9720.87715165018,0.0406976894265164,0.0297544213833452,0.0314647678329514,TRUE
"18",0.615335252482304,0.0562614212180439,2,0.0551025573211809,"Diff/Cond",2,0.0383324547933073,0.513128938725964,0.856886903906786,-0.0290586795342919,9719.88180982281,0.0414864254975108,0.0356041497922808,0.0337106042495188,TRUE
"19",0.802938728728828,0.246721365951059,0.246721365951059,0.066356637904689,"Cond/Cond",2,0.0215162674044621,0.431034258557235,0.992903952788198,-0.24728187029574,9699.40588916842,0.0844405641536866,0.0383778539754886,0.0495531710105361,TRUE
"20",0.762421886319287,0.108299420819965,0.312254037920205,0.0517127889975299,"Diff+Cond/Cond",2,0.0201246270344272,0.436012862697058,0.985063662342758,-0.244277908422729,9688.80697475101,0.102360998634398,0.0513997499473733,0.0494441943736241,TRUE
"21",2,2,2,0,"0/Diff+Cond",0.0559364281017288,0.00369448597110401,0.225974751584371,0.378358870594225,-0.0038803168362587,10488.7394191324,0.0333301664237844,0.0348589434731125,0.029889325599047,FALSE
"22",0.695742724440892,2,2,0.0420095207086968,"1/Diff+Cond",0.162960738205747,0.0370148330536198,0.530423486003865,0.946077494313755,-0.0562178276801319,9661.59833942012,0.0399659028026158,0.0788624697206838,0.0313371250720922,TRUE
"23",0.689284207731794,0.0266762521981884,2,0.0397557114444703,"Diff/Diff+Cond",0.16219119124135,0.035638653394891,0.53339753485757,0.941498571621153,-0.049137488862939,9664.71502669487,0.0400054612440942,0.080894985128327,0.0337720387391058,TRUE
"24",0.843923563323418,0.255852094682743,0.255852094682743,0,"Cond/Diff+Cond",0.170510790432737,0.0125050265356163,0.458280489441427,1.06651730316031,-0.252185896467035,9641.38592322292,0.0864130346786044,0.0853572059585653,0.0493304144613364,FALSE
"25",0.826798744519115,0.0770693673367085,0.299562547622142,0.0385228672750503,"Diff+Cond/Diff+Cond",0.15882236209801,0.0520192281712917,0.460182615011529,1.06102622639538,-0.252582115153332,9636.68835075487,0.101303049572612,0.0862014100319912,0.0494596466163782,TRUE
