"","value","label","reps","PSE_Difference","JND_Difference","nSubjects"
"1",1,"Accuracy GLMM",55,-0.05,-0.05,10
"2",0.1,"Precision GLMM",55,-0.05,-0.05,10
"3",0.18,"Accuracy Two-Level",55,-0.05,-0.05,10
"4",0.065,"Precision Two-Level",55,-0.05,-0.05,10
"5",1,"Accuracy Two-Level LMM",55,-0.05,-0.05,10
"6",0.065,"Precision Two-Level LMM",55,-0.05,-0.05,10
"7",1,"Accuracy GLMM",55,-0.05,-0.05,12
"8",0.135,"Precision GLMM",55,-0.05,-0.05,12
"9",0.27,"Accuracy Two-Level",55,-0.05,-0.05,12
"10",0.06,"Precision Two-Level",55,-0.05,-0.05,12
"11",1,"Accuracy Two-Level LMM",55,-0.05,-0.05,12
"12",0.075,"Precision Two-Level LMM",55,-0.05,-0.05,12
"13",1,"Accuracy GLMM",55,-0.05,-0.05,14
"14",0.15,"Precision GLMM",55,-0.05,-0.05,14
"15",0.315,"Accuracy Two-Level",55,-0.05,-0.05,14
"16",0.075,"Precision Two-Level",55,-0.05,-0.05,14
"17",1,"Accuracy Two-Level LMM",55,-0.05,-0.05,14
"18",0.095,"Precision Two-Level LMM",55,-0.05,-0.05,14
"19",1,"Accuracy GLMM",55,-0.05,-0.05,16
"20",0.185,"Precision GLMM",55,-0.05,-0.05,16
"21",0.445,"Accuracy Two-Level",55,-0.05,-0.05,16
"22",0.075,"Precision Two-Level",55,-0.05,-0.05,16
"23",1,"Accuracy Two-Level LMM",55,-0.05,-0.05,16
"24",0.09,"Precision Two-Level LMM",55,-0.05,-0.05,16
"25",1,"Accuracy GLMM",55,-0.05,-0.05,18
"26",0.215,"Precision GLMM",55,-0.05,-0.05,18
"27",0.53,"Accuracy Two-Level",55,-0.05,-0.05,18
"28",0.095,"Precision Two-Level",55,-0.05,-0.05,18
"29",1,"Accuracy Two-Level LMM",55,-0.05,-0.05,18
"30",0.115,"Precision Two-Level LMM",55,-0.05,-0.05,18
"31",1,"Accuracy GLMM",55,-0.05,-0.05,20
"32",0.225,"Precision GLMM",55,-0.05,-0.05,20
"33",0.63,"Accuracy Two-Level",55,-0.05,-0.05,20
"34",0.075,"Precision Two-Level",55,-0.05,-0.05,20
"35",1,"Accuracy Two-Level LMM",55,-0.05,-0.05,20
"36",0.1,"Precision Two-Level LMM",55,-0.05,-0.05,20
