nIteration,n,reps,DurationGLMM_bobyqa_AGP0,AIC_bobyqa_AGP0,Pvalues_bobyqa_AGP0_Accuracy,Pvalues_bobyqa_AGP0_Precision,ConditionsOfInterest,StandardValue1,StandardValue2,PSE_Difference,JND_Difference,Multiplicator_PSE_Standard,Multiplicator_SD_Standard,SD_ResponseFunction,Mean_Variability_Between,SD_Variability_Between
12,10,50,2897,3988.950147,3.86E-14,0.001230047,2,5,8,0.1,0.2,0,0.108,0.1,0.1,0.1
13,10,50,4675,3949.364752,3.41E-11,4.39E-05,2,5,8,0.1,0.2,0,0.108,0.1,0.1,0.1
14,10,50,2892,4229.726805,6.95E-10,0.006101797,2,5,8,0.1,0.2,0,0.108,0.1,0.1,0.1
15,10,50,7226,4118.552956,2.70E-10,0.000217247,2,5,8,0.1,0.2,0,0.108,0.1,0.1,0.1
16,10,50,1934,3936.49283,2.77E-13,1.08E-05,2,5,8,0.1,0.2,0,0.108,0.1,0.1,0.1
17,10,50,3652,4293.596886,6.54E-13,0.000366551,2,5,8,0.1,0.2,0,0.108,0.1,0.1,0.1
18,10,50,4711,4125.030089,3.59E-12,6.60E-05,2,5,8,0.1,0.2,0,0.108,0.1,0.1,0.1
19,10,50,5309,4058.630266,9.61E-12,3.06E-06,2,5,8,0.1,0.2,0,0.108,0.1,0.1,0.1
20,10,50,2300,4204.723625,2.81E-11,2.40E-05,2,5,8,0.1,0.2,0,0.108,0.1,0.1,0.1
21,10,50,2883,4040.458345,1.34E-12,0.000188925,2,5,8,0.1,0.2,0,0.108,0.1,0.1,0.1
22,10,50,2161,3996.839404,3.12E-11,0.000259984,2,5,8,0.1,0.2,0,0.108,0.1,0.1,0.1
23,10,50,3484,4136.429376,2.36E-10,8.10E-05,2,5,8,0.1,0.2,0,0.108,0.1,0.1,0.1
24,10,50,3464,4135.12522,7.87E-16,2.41E-05,2,5,8,0.1,0.2,0,0.108,0.1,0.1,0.1
25,10,50,2937,4209.624858,9.53E-14,1.26E-12,2,5,8,0.1,0.2,0,0.108,0.1,0.1,0.1
1,12,50,3127,4197.439446,1.24E-10,0.000108378,2,5,8,0.1,0.2,0,0.108,0.1,0.1,0.1
2,12,50,4213,4096.853376,1.21E-13,6.30E-11,2,5,8,0.1,0.2,0,0.108,0.1,0.1,0.1
3,12,50,2863,4089.510667,5.13E-10,1.16E-06,2,5,8,0.1,0.2,0,0.108,0.1,0.1,0.1
4,12,50,4233,3972.473666,2.93E-10,8.01E-08,2,5,8,0.1,0.2,0,0.108,0.1,0.1,0.1
5,12,50,3215,4208.023704,2.30E-11,5.93E-08,2,5,8,0.1,0.2,0,0.108,0.1,0.1,0.1
6,12,50,3008,3993.639017,2.59E-12,5.77E-08,2,5,8,0.1,0.2,0,0.108,0.1,0.1,0.1
7,12,50,3654,4133.030247,1.27E-11,0.03556555,2,5,8,0.1,0.2,0,0.108,0.1,0.1,0.1
8,12,50,4065,4082.370872,8.39E-15,1.36E-05,2,5,8,0.1,0.2,0,0.108,0.1,0.1,0.1
9,12,50,1760,4134.875972,1.35E-10,0.000191955,2,5,8,0.1,0.2,0,0.108,0.1,0.1,0.1
10,12,50,3753,4040.493288,1.14E-11,2.23E-11,2,5,8,0.1,0.2,0,0.108,0.1,0.1,0.1
11,12,50,7920,3875.401425,2.41E-13,0.000317214,2,5,8,0.1,0.2,0,0.108,0.1,0.1,0.1
12,12,50,2309,4007.884915,3.43E-11,0.002293482,2,5,8,0.1,0.2,0,0.108,0.1,0.1,0.1
13,12,50,2743,4038.431723,2.45E-16,0.000904077,2,5,8,0.1,0.2,0,0.108,0.1,0.1,0.1
14,12,50,1969,4084.805432,1.14E-14,6.16E-08,2,5,8,0.1,0.2,0,0.108,0.1,0.1,0.1
15,12,50,3324,3927.728915,5.28E-10,0.000286727,2,5,8,0.1,0.2,0,0.108,0.1,0.1,0.1
16,12,50,2388,4098.108095,3.31E-16,4.80E-06,2,5,8,0.1,0.2,0,0.108,0.1,0.1,0.1
17,12,50,3029,4036.621332,5.70E-10,0.001039956,2,5,8,0.1,0.2,0,0.108,0.1,0.1,0.1
18,12,50,1726,4086.339853,4.10E-14,7.54E-09,2,5,8,0.1,0.2,0,0.108,0.1,0.1,0.1
19,12,50,3460,3981.875003,6.92E-16,2.02E-05,2,5,8,0.1,0.2,0,0.108,0.1,0.1,0.1
20,12,50,2708,4089.793629,8.98E-12,0.004621806,2,5,8,0.1,0.2,0,0.108,0.1,0.1,0.1
21,12,50,4818,4017.445211,2.25E-12,6.84E-11,2,5,8,0.1,0.2,0,0.108,0.1,0.1,0.1
22,12,50,4601,4086.457922,8.62E-13,0.000280408,2,5,8,0.1,0.2,0,0.108,0.1,0.1,0.1
23,12,50,4832,3947.497094,9.65E-11,0.000100663,2,5,8,0.1,0.2,0,0.108,0.1,0.1,0.1
24,12,50,2226,4096.416841,1.29E-13,2.98E-09,2,5,8,0.1,0.2,0,0.108,0.1,0.1,0.1
25,12,50,2165,4156.281398,1.05E-10,0.000384888,2,5,8,0.1,0.2,0,0.108,0.1,0.1,0.1
1,14,50,3727,4049.171675,1.43E-11,5.91E-10,2,5,8,0.1,0.2,0,0.108,0.1,0.1,0.1
2,14,50,2050,4170.08626,3.91E-12,5.13E-08,2,5,8,0.1,0.2,0,0.108,0.1,0.1,0.1
3,14,50,4319,4154.483382,1.61E-12,1.37E-10,2,5,8,0.1,0.2,0,0.108,0.1,0.1,0.1
4,14,50,2341,4184.810751,4.61E-14,2.30E-05,2,5,8,0.1,0.2,0,0.108,0.1,0.1,0.1
5,14,50,3044,4080.069862,1.36E-13,0.000182486,2,5,8,0.1,0.2,0,0.108,0.1,0.1,0.1
6,14,50,3165,4147.679244,2.54E-12,1.32E-14,2,5,8,0.1,0.2,0,0.108,0.1,0.1,0.1
7,14,50,2679,4029.034352,3.17E-12,1.01E-06,2,5,8,0.1,0.2,0,0.108,0.1,0.1,0.1
8,14,50,4290,4125.020492,2.42E-10,5.23E-09,2,5,8,0.1,0.2,0,0.108,0.1,0.1,0.1
9,14,50,3177,4155.964836,3.84E-10,0.001270693,2,5,8,0.1,0.2,0,0.108,0.1,0.1,0.1
10,14,50,2126,3981.17823,2.97E-11,8.53E-07,2,5,8,0.1,0.2,0,0.108,0.1,0.1,0.1
11,14,50,3601,4220.377586,3.91E-10,1.88E-05,2,5,8,0.1,0.2,0,0.108,0.1,0.1,0.1
12,14,50,2214,4158.051001,4.27E-12,0.000465585,2,5,8,0.1,0.2,0,0.108,0.1,0.1,0.1
13,14,50,2908,4139.957709,4.18E-11,5.63E-06,2,5,8,0.1,0.2,0,0.108,0.1,0.1,0.1
14,14,50,4484,4139.702123,2.71E-12,0.023155747,2,5,8,0.1,0.2,0,0.108,0.1,0.1,0.1
15,14,50,2391,4195.199946,7.05E-12,6.49E-09,2,5,8,0.1,0.2,0,0.108,0.1,0.1,0.1
16,14,50,2736,4152.691572,2.12E-11,0.000428675,2,5,8,0.1,0.2,0,0.108,0.1,0.1,0.1
17,14,50,7126,4115.78231,8.90E-14,5.16E-07,2,5,8,0.1,0.2,0,0.108,0.1,0.1,0.1
18,14,50,2301,4021.321831,2.62E-18,2.00E-08,2,5,8,0.1,0.2,0,0.108,0.1,0.1,0.1
19,14,50,2766,4069.424421,4.06E-12,1.07E-06,2,5,8,0.1,0.2,0,0.108,0.1,0.1,0.1
20,14,50,3246,4153.233285,6.90E-15,0.025717308,2,5,8,0.1,0.2,0,0.108,0.1,0.1,0.1
21,14,50,2649,4034.002155,2.02E-11,1.52E-05,2,5,8,0.1,0.2,0,0.108,0.1,0.1,0.1
22,14,50,2783,4051.973851,4.69E-09,4.63E-05,2,5,8,0.1,0.2,0,0.108,0.1,0.1,0.1
23,14,50,2741,4123.195058,1.09E-12,5.99E-06,2,5,8,0.1,0.2,0,0.108,0.1,0.1,0.1
24,14,50,3913,4088.014662,3.56E-12,1.71E-05,2,5,8,0.1,0.2,0,0.108,0.1,0.1,0.1
25,14,50,2086,4144.913749,5.50E-11,0.007757101,2,5,8,0.1,0.2,0,0.108,0.1,0.1,0.1
1,16,50,6488,4193.669298,1.18E-12,1.35E-09,2,5,8,0.1,0.2,0,0.108,0.1,0.1,0.1
2,16,50,2082,4107.903463,7.62E-10,0.136876546,2,5,8,0.1,0.2,0,0.108,0.1,0.1,0.1
3,16,50,1828,4242.760401,1.41E-13,0.000137561,2,5,8,0.1,0.2,0,0.108,0.1,0.1,0.1
4,16,50,3769,4127.099266,7.92E-17,1.35E-05,2,5,8,0.1,0.2,0,0.108,0.1,0.1,0.1
5,16,50,3695,4248.20011,4.14E-16,8.35E-06,2,5,8,0.1,0.2,0,0.108,0.1,0.1,0.1
6,16,50,2191,3972.84452,9.04E-10,0.003027034,2,5,8,0.1,0.2,0,0.108,0.1,0.1,0.1
7,16,50,2716,4106.618683,1.94E-12,4.23E-12,2,5,8,0.1,0.2,0,0.108,0.1,0.1,0.1
8,16,50,1839,4135.692627,2.29E-12,0.003663102,2,5,8,0.1,0.2,0,0.108,0.1,0.1,0.1
9,16,50,3374,3911.308777,4.21E-14,1.05E-05,2,5,8,0.1,0.2,0,0.108,0.1,0.1,0.1
10,16,50,4370,4245.513498,3.11E-13,5.86E-10,2,5,8,0.1,0.2,0,0.108,0.1,0.1,0.1
11,16,50,6435,3907.417979,4.42E-11,0.003716489,2,5,8,0.1,0.2,0,0.108,0.1,0.1,0.1
12,16,50,6692,4099.662493,1.94E-11,1.94E-09,2,5,8,0.1,0.2,0,0.108,0.1,0.1,0.1
13,16,50,2375,3994.601241,2.87E-16,5.25E-11,2,5,8,0.1,0.2,0,0.108,0.1,0.1,0.1
14,16,50,3198,4017.09141,4.32E-12,1.12E-05,2,5,8,0.1,0.2,0,0.108,0.1,0.1,0.1
15,16,50,3893,4089.948687,4.50E-12,0.000104581,2,5,8,0.1,0.2,0,0.108,0.1,0.1,0.1
16,16,50,2284,4071.194388,3.80E-12,4.94E-08,2,5,8,0.1,0.2,0,0.108,0.1,0.1,0.1
17,16,50,3316,4142.964174,1.00E-09,4.09E-07,2,5,8,0.1,0.2,0,0.108,0.1,0.1,0.1
18,16,50,3043,4098.470066,2.01E-10,2.60E-06,2,5,8,0.1,0.2,0,0.108,0.1,0.1,0.1
19,16,50,3826,4100.313159,2.05E-11,1.97E-06,2,5,8,0.1,0.2,0,0.108,0.1,0.1,0.1
20,16,50,2014,3971.108544,2.07E-11,1.57E-05,2,5,8,0.1,0.2,0,0.108,0.1,0.1,0.1
21,16,50,2317,4109.306951,3.31E-12,0.003710507,2,5,8,0.1,0.2,0,0.108,0.1,0.1,0.1
22,16,50,3512,4163.588991,2.81E-11,3.03E-06,2,5,8,0.1,0.2,0,0.108,0.1,0.1,0.1
23,16,50,2301,4113.551091,1.06E-19,1.33E-07,2,5,8,0.1,0.2,0,0.108,0.1,0.1,0.1
24,16,50,4330,4116.051707,5.57E-16,1.11E-11,2,5,8,0.1,0.2,0,0.108,0.1,0.1,0.1
25,16,50,2724,4054.872441,9.20E-13,1.54E-07,2,5,8,0.1,0.2,0,0.108,0.1,0.1,0.1
1,18,50,3827,4282.396291,8.78E-16,6.64E-05,2,5,8,0.1,0.2,0,0.108,0.1,0.1,0.1
2,18,50,5711,4065.413518,3.59E-14,5.75E-08,2,5,8,0.1,0.2,0,0.108,0.1,0.1,0.1
3,18,50,6971,4107.213666,5.83E-14,1.01E-10,2,5,8,0.1,0.2,0,0.108,0.1,0.1,0.1
4,18,50,2027,3939.229825,3.05E-12,5.14E-09,2,5,8,0.1,0.2,0,0.108,0.1,0.1,0.1
5,18,50,2286,4042.911807,1.46E-09,5.55E-05,2,5,8,0.1,0.2,0,0.108,0.1,0.1,0.1
6,18,50,3040,4045.426308,2.59E-14,1.85E-11,2,5,8,0.1,0.2,0,0.108,0.1,0.1,0.1
7,18,50,5489,3972.330021,1.81E-09,7.78E-06,2,5,8,0.1,0.2,0,0.108,0.1,0.1,0.1
8,18,50,2284,4126.676249,1.40E-09,5.30E-07,2,5,8,0.1,0.2,0,0.108,0.1,0.1,0.1
9,18,50,4189,4116.740724,3.45E-11,7.96E-07,2,5,8,0.1,0.2,0,0.108,0.1,0.1,0.1
10,18,50,2262,4221.62746,2.27E-13,0.000970816,2,5,8,0.1,0.2,0,0.108,0.1,0.1,0.1
11,18,50,9635,4119.769743,1.26E-12,3.20E-09,2,5,8,0.1,0.2,0,0.108,0.1,0.1,0.1
12,18,50,2774,4066.37269,2.45E-14,1.53E-05,2,5,8,0.1,0.2,0,0.108,0.1,0.1,0.1
13,18,50,2225,4125.737726,4.33E-13,4.73E-08,2,5,8,0.1,0.2,0,0.108,0.1,0.1,0.1
14,18,50,6906,4156.603707,1.48E-10,4.97E-08,2,5,8,0.1,0.2,0,0.108,0.1,0.1,0.1
15,18,50,3774,4149.714937,2.97E-11,0.001175943,2,5,8,0.1,0.2,0,0.108,0.1,0.1,0.1
16,18,50,3290,4090.525064,5.14E-11,0.017875408,2,5,8,0.1,0.2,0,0.108,0.1,0.1,0.1
17,18,50,2771,4099.408372,3.03E-11,0.000257448,2,5,8,0.1,0.2,0,0.108,0.1,0.1,0.1
18,18,50,2791,3873.404411,2.48E-13,5.09E-07,2,5,8,0.1,0.2,0,0.108,0.1,0.1,0.1
19,18,50,2949,4077.220177,4.82E-11,1.15E-05,2,5,8,0.1,0.2,0,0.108,0.1,0.1,0.1
20,18,50,3321,4218.35512,1.26E-12,0.000300768,2,5,8,0.1,0.2,0,0.108,0.1,0.1,0.1
21,18,50,3031,4181.179665,1.02E-12,2.09E-10,2,5,8,0.1,0.2,0,0.108,0.1,0.1,0.1
22,18,50,1856,4137.883196,3.95E-12,0.000944495,2,5,8,0.1,0.2,0,0.108,0.1,0.1,0.1
23,18,50,3953,4111.73216,3.16E-13,3.13E-06,2,5,8,0.1,0.2,0,0.108,0.1,0.1,0.1
24,18,50,2803,4117.09487,3.80E-11,0.001255665,2,5,8,0.1,0.2,0,0.108,0.1,0.1,0.1
25,18,50,3087,4138.151324,3.91E-13,4.58E-06,2,5,8,0.1,0.2,0,0.108,0.1,0.1,0.1
1,20,50,2983,4223.056188,2.44E-10,0.119569423,2,5,8,0.1,0.2,0,0.108,0.1,0.1,0.1
2,20,50,3265,4115.079578,5.42E-10,4.10E-05,2,5,8,0.1,0.2,0,0.108,0.1,0.1,0.1
3,20,50,3940,3948.604899,1.09E-12,7.22E-14,2,5,8,0.1,0.2,0,0.108,0.1,0.1,0.1
4,20,50,2265,4213.413932,1.04E-12,1.02E-13,2,5,8,0.1,0.2,0,0.108,0.1,0.1,0.1
5,20,50,2717,4177.623701,1.16E-11,4.94E-07,2,5,8,0.1,0.2,0,0.108,0.1,0.1,0.1
6,20,50,1977,4131.715284,5.49E-14,3.65E-12,2,5,8,0.1,0.2,0,0.108,0.1,0.1,0.1
7,20,50,3583,4187.952279,2.00E-13,0.000252185,2,5,8,0.1,0.2,0,0.108,0.1,0.1,0.1
8,20,50,2852,4120.168079,2.63E-10,0.006213563,2,5,8,0.1,0.2,0,0.108,0.1,0.1,0.1
9,20,50,2231,4097.616813,1.85E-12,5.30E-07,2,5,8,0.1,0.2,0,0.108,0.1,0.1,0.1
10,20,50,3239,4024.590527,6.91E-11,3.54E-05,2,5,8,0.1,0.2,0,0.108,0.1,0.1,0.1
11,20,50,2363,4326.484731,9.80E-11,0.000744698,2,5,8,0.1,0.2,0,0.108,0.1,0.1,0.1
12,20,50,2174,4137.200623,2.09E-15,0.000233485,2,5,8,0.1,0.2,0,0.108,0.1,0.1,0.1
13,20,50,1688,4047.975475,9.81E-13,0.851321364,2,5,8,0.1,0.2,0,0.108,0.1,0.1,0.1
14,20,50,1504,4109.263282,1.56E-10,1.12E-06,2,5,8,0.1,0.2,0,0.108,0.1,0.1,0.1
15,20,50,2189,4012.115079,4.33E-10,0.022991356,2,5,8,0.1,0.2,0,0.108,0.1,0.1,0.1
16,20,50,3097,3999.762062,3.89E-10,9.71E-09,2,5,8,0.1,0.2,0,0.108,0.1,0.1,0.1
17,20,50,3125,4106.219436,1.30E-11,0.031844289,2,5,8,0.1,0.2,0,0.108,0.1,0.1,0.1
18,20,50,6293,4234.58669,2.56E-16,2.68E-06,2,5,8,0.1,0.2,0,0.108,0.1,0.1,0.1
19,20,50,2956,4007.030383,4.09E-10,1.07E-07,2,5,8,0.1,0.2,0,0.108,0.1,0.1,0.1
20,20,50,2870,3989.608682,5.38E-10,2.72E-09,2,5,8,0.1,0.2,0,0.108,0.1,0.1,0.1
21,20,50,4303,4066.538299,4.91E-13,4.81E-05,2,5,8,0.1,0.2,0,0.108,0.1,0.1,0.1
22,20,50,3217,4079.607999,8.15E-09,4.02E-08,2,5,8,0.1,0.2,0,0.108,0.1,0.1,0.1
23,20,50,2139,4219.144892,1.65E-15,6.86E-07,2,5,8,0.1,0.2,0,0.108,0.1,0.1,0.1
24,20,50,4984,4155.202436,1.59E-10,1.22E-05,2,5,8,0.1,0.2,0,0.108,0.1,0.1,0.1
25,20,50,3323,4147.494683,2.22E-11,1.31E-07,2,5,8,0.1,0.2,0,0.108,0.1,0.1,0.1
1,10,60,2473,4231.270777,2.53E-11,7.02E-07,2,5,8,0.1,0.2,0,0.108,0.1,0.1,0.1
2,10,60,3461,4015.033939,2.80E-11,2.65E-06,2,5,8,0.1,0.2,0,0.108,0.1,0.1,0.1
3,10,60,2261,4130.79343,1.07E-10,0.004040407,2,5,8,0.1,0.2,0,0.108,0.1,0.1,0.1
4,10,60,2956,4083.703134,1.58E-16,9.30E-13,2,5,8,0.1,0.2,0,0.108,0.1,0.1,0.1
5,10,60,2712,3968.073048,7.60E-14,5.94E-05,2,5,8,0.1,0.2,0,0.108,0.1,0.1,0.1
6,10,60,4908,4059.735192,6.59E-15,0.060585655,2,5,8,0.1,0.2,0,0.108,0.1,0.1,0.1
7,10,60,5250,4072.937881,1.82E-11,2.36E-07,2,5,8,0.1,0.2,0,0.108,0.1,0.1,0.1
8,10,60,4107,4018.465058,8.90E-14,2.73E-08,2,5,8,0.1,0.2,0,0.108,0.1,0.1,0.1
9,10,60,1581,4176.657217,1.09E-12,0.038652722,2,5,8,0.1,0.2,0,0.108,0.1,0.1,0.1
10,10,60,2635,4022.184646,5.77E-14,2.81E-07,2,5,8,0.1,0.2,0,0.108,0.1,0.1,0.1
11,10,60,2426,3997.780241,6.35E-13,0.001215406,2,5,8,0.1,0.2,0,0.108,0.1,0.1,0.1
12,10,60,3059,4183.595861,3.84E-11,0.000347073,2,5,8,0.1,0.2,0,0.108,0.1,0.1,0.1
13,10,60,2734,4026.410741,1.60E-12,0.000126057,2,5,8,0.1,0.2,0,0.108,0.1,0.1,0.1
14,10,60,2650,4084.448273,6.82E-16,0.000806989,2,5,8,0.1,0.2,0,0.108,0.1,0.1,0.1
15,10,60,3386,4076.208434,5.35E-14,1.28E-12,2,5,8,0.1,0.2,0,0.108,0.1,0.1,0.1
16,10,60,3046,4081.483335,1.07E-11,0.006557122,2,5,8,0.1,0.2,0,0.108,0.1,0.1,0.1
17,10,60,2505,4090.684827,4.04E-10,3.19E-07,2,5,8,0.1,0.2,0,0.108,0.1,0.1,0.1
18,10,60,4770,4101.048841,4.59E-10,1.35E-08,2,5,8,0.1,0.2,0,0.108,0.1,0.1,0.1
19,10,60,1779,4144.305543,3.89E-10,5.59E-05,2,5,8,0.1,0.2,0,0.108,0.1,0.1,0.1
20,10,60,2148,4066.885105,5.53E-13,0.000900052,2,5,8,0.1,0.2,0,0.108,0.1,0.1,0.1
21,10,60,4433,4151.553275,1.84E-10,2.40E-14,2,5,8,0.1,0.2,0,0.108,0.1,0.1,0.1
22,10,60,3473,4133.10488,3.30E-14,1.63E-14,2,5,8,0.1,0.2,0,0.108,0.1,0.1,0.1
23,10,60,3609,4278.006971,1.27E-10,0.391779778,2,5,8,0.1,0.2,0,0.108,0.1,0.1,0.1
24,10,60,2749,4117.999476,1.81E-12,0.082298331,2,5,8,0.1,0.2,0,0.108,0.1,0.1,0.1
25,10,60,2223,4212.1403,1.12E-10,6.57E-05,2,5,8,0.1,0.2,0,0.108,0.1,0.1,0.1
1,12,60,2091,4225.950284,1.33E-10,9.39E-07,2,5,8,0.1,0.2,0,0.108,0.1,0.1,0.1
2,12,60,3127,4278.77288,2.65E-12,8.50E-07,2,5,8,0.1,0.2,0,0.108,0.1,0.1,0.1
3,12,60,5305,4038.916438,4.59E-12,5.11E-10,2,5,8,0.1,0.2,0,0.108,0.1,0.1,0.1
4,12,60,3806,4094.633732,7.17E-10,0.002980811,2,5,8,0.1,0.2,0,0.108,0.1,0.1,0.1
5,12,60,3240,4075.289856,3.94E-10,5.73E-07,2,5,8,0.1,0.2,0,0.108,0.1,0.1,0.1
6,12,60,2270,4081.835082,2.99E-16,1.58E-06,2,5,8,0.1,0.2,0,0.108,0.1,0.1,0.1
7,12,60,2981,4209.492907,4.43E-14,2.88E-06,2,5,8,0.1,0.2,0,0.108,0.1,0.1,0.1
8,12,60,2549,4136.318168,8.15E-10,0.000165586,2,5,8,0.1,0.2,0,0.108,0.1,0.1,0.1
9,12,60,1788,4175.561862,1.21E-11,0.000170914,2,5,8,0.1,0.2,0,0.108,0.1,0.1,0.1
10,12,60,3007,4122.859578,1.02E-13,1.14E-05,2,5,8,0.1,0.2,0,0.108,0.1,0.1,0.1
11,12,60,2128,4025.589416,6.62E-16,0.000198695,2,5,8,0.1,0.2,0,0.108,0.1,0.1,0.1
12,12,60,3458,4096.671054,8.24E-10,4.30E-06,2,5,8,0.1,0.2,0,0.108,0.1,0.1,0.1
13,12,60,3130,3922.015554,5.59E-10,0.001789887,2,5,8,0.1,0.2,0,0.108,0.1,0.1,0.1
14,12,60,3160,3976.567019,1.64E-12,1.46E-12,2,5,8,0.1,0.2,0,0.108,0.1,0.1,0.1
15,12,60,2678,4223.822566,5.10E-13,3.57E-07,2,5,8,0.1,0.2,0,0.108,0.1,0.1,0.1
16,12,60,2516,4088.81174,5.75E-14,4.32E-10,2,5,8,0.1,0.2,0,0.108,0.1,0.1,0.1
17,12,60,3757,4029.518094,6.99E-12,8.56E-09,2,5,8,0.1,0.2,0,0.108,0.1,0.1,0.1
18,12,60,2969,4217.45162,2.14E-13,3.23E-08,2,5,8,0.1,0.2,0,0.108,0.1,0.1,0.1
19,12,60,5417,4087.739534,2.14E-12,1.65E-07,2,5,8,0.1,0.2,0,0.108,0.1,0.1,0.1
20,12,60,1983,4128.786877,4.87E-14,2.47E-05,2,5,8,0.1,0.2,0,0.108,0.1,0.1,0.1
21,12,60,3716,4167.717507,2.25E-12,0.000507933,2,5,8,0.1,0.2,0,0.108,0.1,0.1,0.1
22,12,60,4608,4022.532867,5.12E-09,0.005137216,2,5,8,0.1,0.2,0,0.108,0.1,0.1,0.1
23,12,60,3997,4044.184457,3.07E-12,9.83E-06,2,5,8,0.1,0.2,0,0.108,0.1,0.1,0.1
24,12,60,2725,3958.026752,7.91E-10,0.000472734,2,5,8,0.1,0.2,0,0.108,0.1,0.1,0.1
25,12,60,6136,4187.395025,5.04E-13,4.84E-05,2,5,8,0.1,0.2,0,0.108,0.1,0.1,0.1
1,14,60,1801,4157.804865,2.13E-18,2.87E-07,2,5,8,0.1,0.2,0,0.108,0.1,0.1,0.1
2,14,60,3064,4147.565853,8.27E-11,3.80E-05,2,5,8,0.1,0.2,0,0.108,0.1,0.1,0.1
3,14,60,4598,4008.285101,1.33E-17,7.09E-07,2,5,8,0.1,0.2,0,0.108,0.1,0.1,0.1
4,14,60,2141,4063.616897,1.32E-11,0.01804609,2,5,8,0.1,0.2,0,0.108,0.1,0.1,0.1
5,14,60,2923,3961.559107,4.88E-11,3.74E-08,2,5,8,0.1,0.2,0,0.108,0.1,0.1,0.1
6,14,60,2822,4148.176094,3.30E-13,8.53E-09,2,5,8,0.1,0.2,0,0.108,0.1,0.1,0.1
7,14,60,3860,4174.688254,3.18E-13,5.03E-06,2,5,8,0.1,0.2,0,0.108,0.1,0.1,0.1
8,14,60,2560,4110.415902,5.08E-20,2.49E-19,2,5,8,0.1,0.2,0,0.108,0.1,0.1,0.1
9,14,60,2585,4387.876909,8.58E-10,1.94E-06,2,5,8,0.1,0.2,0,0.108,0.1,0.1,0.1
10,14,60,5645,4114.366343,4.76E-11,4.11E-06,2,5,8,0.1,0.2,0,0.108,0.1,0.1,0.1
11,14,60,3623,4002.142809,2.11E-10,0.040433829,2,5,8,0.1,0.2,0,0.108,0.1,0.1,0.1
12,14,60,2916,3799.864466,2.56E-12,1.56E-12,2,5,8,0.1,0.2,0,0.108,0.1,0.1,0.1
13,14,60,3084,3984.092964,1.30E-10,1.22E-05,2,5,8,0.1,0.2,0,0.108,0.1,0.1,0.1
14,14,60,4138,4153.054457,3.32E-14,0.000725671,2,5,8,0.1,0.2,0,0.108,0.1,0.1,0.1
15,14,60,2818,4065.304101,9.13E-17,1.36E-10,2,5,8,0.1,0.2,0,0.108,0.1,0.1,0.1
16,14,60,2485,4093.451717,1.80E-13,2.26E-05,2,5,8,0.1,0.2,0,0.108,0.1,0.1,0.1
17,14,60,3505,4163.764336,2.84E-14,8.45E-07,2,5,8,0.1,0.2,0,0.108,0.1,0.1,0.1
18,14,60,3313,4043.037184,1.07E-11,0.004452959,2,5,8,0.1,0.2,0,0.108,0.1,0.1,0.1
19,14,60,2014,4241.720537,2.36E-13,7.19E-09,2,5,8,0.1,0.2,0,0.108,0.1,0.1,0.1
20,14,60,2271,3991.541125,4.25E-10,0.181047454,2,5,8,0.1,0.2,0,0.108,0.1,0.1,0.1
21,14,60,2780,4106.858231,3.23E-11,1.06E-06,2,5,8,0.1,0.2,0,0.108,0.1,0.1,0.1
22,14,60,3328,4166.144114,7.22E-14,1.19E-10,2,5,8,0.1,0.2,0,0.108,0.1,0.1,0.1
23,14,60,3280,4100.683525,6.79E-10,0.005948313,2,5,8,0.1,0.2,0,0.108,0.1,0.1,0.1
24,14,60,2202,4055.236377,3.07E-15,7.49E-07,2,5,8,0.1,0.2,0,0.108,0.1,0.1,0.1
25,14,60,4360,4032.74659,4.64E-13,1.12E-08,2,5,8,0.1,0.2,0,0.108,0.1,0.1,0.1
1,16,60,1906,3997.308513,2.11E-16,9.77E-07,2,5,8,0.1,0.2,0,0.108,0.1,0.1,0.1
2,16,60,2473,4214.642253,5.88E-11,0.004277884,2,5,8,0.1,0.2,0,0.108,0.1,0.1,0.1
3,16,60,4673,4103.256252,2.45E-09,0.000270123,2,5,8,0.1,0.2,0,0.108,0.1,0.1,0.1
4,16,60,2430,4237.060842,2.72E-10,4.23E-05,2,5,8,0.1,0.2,0,0.108,0.1,0.1,0.1
5,16,60,2753,4211.274421,2.83E-14,1.83E-07,2,5,8,0.1,0.2,0,0.108,0.1,0.1,0.1
6,16,60,6250,4095.353197,6.37E-13,1.10E-09,2,5,8,0.1,0.2,0,0.108,0.1,0.1,0.1
7,16,60,3042,3949.393555,1.30E-11,4.15E-06,2,5,8,0.1,0.2,0,0.108,0.1,0.1,0.1
8,16,60,3129,4157.922414,5.05E-11,0.000243795,2,5,8,0.1,0.2,0,0.108,0.1,0.1,0.1
9,16,60,3948,4024.940142,2.49E-10,1.75E-07,2,5,8,0.1,0.2,0,0.108,0.1,0.1,0.1
10,16,60,2291,4060.425717,6.95E-13,0.001745048,2,5,8,0.1,0.2,0,0.108,0.1,0.1,0.1
11,16,60,2371,4016.125409,1.83E-12,3.96E-11,2,5,8,0.1,0.2,0,0.108,0.1,0.1,0.1
12,16,60,3309,4204.203617,9.63E-11,1.62E-06,2,5,8,0.1,0.2,0,0.108,0.1,0.1,0.1
13,16,60,2263,4095.307674,2.31E-09,4.35E-05,2,5,8,0.1,0.2,0,0.108,0.1,0.1,0.1
