,Model,StandardValues,ConditionOfInterest,ID,Repetition,Mean_Modeled,SD_Modeled,AIC,CoefCond,CoefInteract,PvaluesCoI,PvaluesInterac,SECoI,SEInterac,Mean_Actual,SD_Actual,PSE_Difference,JND_Difference,Condition_PSEJND,ActualPSEs,ActualSDs,Condition,AIC_Norm
23,M14,7,0,s6,1,1.011954887,1.07224439,14875.58007,0.518106299,-0.214023888,2.60E-09,0.000198564,0.087000366,0.057520372,0.964985619,0.990581826,-0.05,0.125,0.125-0.05,0,1.05,Baseline,-49.64705297
24,M14,8,0,s6,1,1.169596188,1.257501219,14875.58007,0.518106299,-0.214023888,2.60E-09,0.000198564,0.087000366,0.057520372,1.102840707,1.132093516,-0.05,0.125,0.125-0.05,0,1.2,Baseline,-49.64705297
25,M14,5,0,s7,1,-1.341019738,0.782190722,14875.58007,0.518106299,-0.214023888,2.60E-09,0.000198564,0.087000366,0.057520372,-1.28124663,0.938382604,-0.05,0.125,0.125-0.05,0,0.75,Baseline,-49.64705297
26,M14,6,0,s7,1,-1.591338466,0.933543303,14875.58007,0.518106299,-0.214023888,2.60E-09,0.000198564,0.087000366,0.057520372,-1.537495956,1.126059125,-0.05,0.125,0.125-0.05,0,0.9,Baseline,-49.64705297
27,M14,7,0,s7,1,-1.82830765,1.070082317,14875.58007,0.518106299,-0.214023888,2.60E-09,0.000198564,0.087000366,0.057520372,-1.793745282,1.313735645,-0.05,0.125,0.125-0.05,0,1.05,Baseline,-49.64705297
28,M14,8,0,s7,1,-2.128919298,1.248270144,14875.58007,0.518106299,-0.214023888,2.60E-09,0.000198564,0.087000366,0.057520372,-2.049994608,1.501412166,-0.05,0.125,0.125-0.05,0,1.2,Baseline,-49.64705297
29,M14,5,0,s8,1,-0.194479931,0.782011018,14875.58007,0.518106299,-0.214023888,2.60E-09,0.000198564,0.087000366,0.057520372,-0.213144519,0.886475873,-0.05,0.125,0.125-0.05,0,0.75,Baseline,-49.64705297
30,M14,6,0,s8,1,-0.226573352,0.9320075,14875.58007,0.518106299,-0.214023888,2.60E-09,0.000198564,0.087000366,0.057520372,-0.255773423,1.063771047,-0.05,0.125,0.125-0.05,0,0.9,Baseline,-49.64705297
31,M14,7,0,s8,1,-0.243147345,1.078029724,14875.58007,0.518106299,-0.214023888,2.60E-09,0.000198564,0.087000366,0.057520372,-0.298402327,1.241066222,-0.05,0.125,0.125-0.05,0,1.05,Baseline,-49.64705297
32,M14,8,0,s8,1,-0.290937897,1.249313395,14875.58007,0.518106299,-0.214023888,2.60E-09,0.000198564,0.087000366,0.057520372,-0.341031231,1.418361396,-0.05,0.125,0.125-0.05,0,1.2,Baseline,-49.64705297
33,M14,5,0,s9,1,1.929663378,0.792984551,14875.58007,0.518106299,-0.214023888,2.60E-09,0.000198564,0.087000366,0.057520372,1.896539872,0.610795784,-0.05,0.125,0.125-0.05,0,0.75,Baseline,-49.64705297
34,M14,6,0,s9,1,2.284603798,0.935789667,14875.58007,0.518106299,-0.214023888,2.60E-09,0.000198564,0.087000366,0.057520372,2.275847846,0.732954941,-0.05,0.125,0.125-0.05,0,0.9,Baseline,-49.64705297
35,M14,7,0,s9,1,2.613502558,1.086004474,14875.58007,0.518106299,-0.214023888,2.60E-09,0.000198564,0.087000366,0.057520372,2.655155821,0.855114098,-0.05,0.125,0.125-0.05,0,1.05,Baseline,-49.64705297
36,M14,8,0,s9,1,3.081625081,1.253419154,14875.58007,0.518106299,-0.214023888,2.60E-09,0.000198564,0.087000366,0.057520372,3.034463795,0.977273255,-0.05,0.125,0.125-0.05,0,1.2,Baseline,-49.64705297
37,M14,5,0,s10,1,1.780510093,0.787996102,14875.58007,0.518106299,-0.214023888,2.60E-09,0.000198564,0.087000366,0.057520372,1.776863214,0.936027126,-0.05,0.125,0.125-0.05,0,0.75,Baseline,-49.64705297
38,M14,6,0,s10,1,2.116891099,0.932848783,14875.58007,0.518106299,-0.214023888,2.60E-09,0.000198564,0.087000366,0.057520372,2.132235856,1.123232551,-0.05,0.125,0.125-0.05,0,0.9,Baseline,-49.64705297
39,M14,7,0,s10,1,2.363248834,1.09253938,14875.58007,0.518106299,-0.214023888,2.60E-09,0.000198564,0.087000366,0.057520372,2.487608499,1.310437976,-0.05,0.125,0.125-0.05,0,1.05,Baseline,-49.64705297
40,M14,8,0,s10,1,2.874219556,1.267354311,14875.58007,0.518106299,-0.214023888,2.60E-09,0.000198564,0.087000366,0.057520372,2.842981142,1.497643401,-0.05,0.125,0.125-0.05,0,1.2,Baseline,-49.64705297
41,M14,5,0,s11,1,0.551341369,0.790932937,14875.58007,0.518106299,-0.214023888,2.60E-09,0.000198564,0.087000366,0.057520372,0.566604498,0.773019627,-0.05,0.125,0.125-0.05,0,0.75,Baseline,-49.64705297
42,M14,6,0,s11,1,0.657609521,0.931734849,14875.58007,0.518106299,-0.214023888,2.60E-09,0.000198564,0.087000366,0.057520372,0.679925398,0.927623552,-0.05,0.125,0.125-0.05,0,0.9,Baseline,-49.64705297
43,M14,7,0,s11,1,0.735264317,1.078609323,14875.58007,0.518106299,-0.214023888,2.60E-09,0.000198564,0.087000366,0.057520372,0.793246297,1.082227478,-0.05,0.125,0.125-0.05,0,1.05,Baseline,-49.64705297
44,M14,8,0,s11,1,0.887196621,1.249430464,14875.58007,0.518106299,-0.214023888,2.60E-09,0.000198564,0.087000366,0.057520372,0.906567197,1.236831403,-0.05,0.125,0.125-0.05,0,1.2,Baseline,-49.64705297
45,M14,5,0,s12,1,0.006897195,0.786758021,14875.58007,0.518106299,-0.214023888,2.60E-09,0.000198564,0.087000366,0.057520372,0.015719454,0.907789887,-0.05,0.125,0.125-0.05,0,0.75,Baseline,-49.64705297
46,M14,6,0,s12,1,-0.002114393,0.927578744,14875.58007,0.518106299,-0.214023888,2.60E-09,0.000198564,0.087000366,0.057520372,0.018863345,1.089347864,-0.05,0.125,0.125-0.05,0,0.9,Baseline,-49.64705297
47,M14,7,0,s12,1,0.027971069,1.079579429,14875.58007,0.518106299,-0.214023888,2.60E-09,0.000198564,0.087000366,0.057520372,0.022007236,1.270905842,-0.05,0.125,0.125-0.05,0,1.05,Baseline,-49.64705297
48,M14,8,0,s12,1,0.028083129,1.24146518,14875.58007,0.518106299,-0.214023888,2.60E-09,0.000198564,0.087000366,0.057520372,0.025151126,1.452463819,-0.05,0.125,0.125-0.05,0,1.2,Baseline,-49.64705297
49,M14,5,0,s13,1,0.364840294,0.785961543,14875.58007,0.518106299,-0.214023888,2.60E-09,0.000198564,0.087000366,0.057520372,0.383057339,0.636868318,-0.05,0.125,0.125-0.05,0,0.75,Baseline,-49.64705297
50,M14,6,0,s13,1,0.427901472,0.932860263,14875.58007,0.518106299,-0.214023888,2.60E-09,0.000198564,0.087000366,0.057520372,0.459668806,0.764241982,-0.05,0.125,0.125-0.05,0,0.9,Baseline,-49.64705297
51,M14,7,0,s13,1,0.511821694,1.073366744,14875.58007,0.518106299,-0.214023888,2.60E-09,0.000198564,0.087000366,0.057520372,0.536280274,0.891615645,-0.05,0.125,0.125-0.05,0,1.05,Baseline,-49.64705297
52,M14,8,0,s13,1,0.563783871,1.26441391,14875.58007,0.518106299,-0.214023888,2.60E-09,0.000198564,0.087000366,0.057520372,0.612891742,1.018989309,-0.05,0.125,0.125-0.05,0,1.2,Baseline,-49.64705297
53,M14,5,0,s14,1,-0.06607819,0.788509549,14875.58007,0.518106299,-0.214023888,2.60E-09,0.000198564,0.087000366,0.057520372,-0.045137116,0.527671632,-0.05,0.125,0.125-0.05,0,0.75,Baseline,-49.64705297
54,M14,6,0,s14,1,-0.058624389,0.928117439,14875.58007,0.518106299,-0.214023888,2.60E-09,0.000198564,0.087000366,0.057520372,-0.054164539,0.633205958,-0.05,0.125,0.125-0.05,0,0.9,Baseline,-49.64705297
55,M14,7,0,s14,1,-0.088728336,1.075078219,14875.58007,0.518106299,-0.214023888,2.60E-09,0.000198564,0.087000366,0.057520372,-0.063191962,0.738740285,-0.05,0.125,0.125-0.05,0,1.05,Baseline,-49.64705297
56,M14,8,0,s14,1,-0.157230105,1.256104555,14875.58007,0.518106299,-0.214023888,2.60E-09,0.000198564,0.087000366,0.057520372,-0.072219385,0.844274611,-0.05,0.125,0.125-0.05,0,1.2,Baseline,-49.64705297
