iteration,reps,n,label,AIC,Pvalues_Accuracy,Pvalues_Interaction,Duration,ConditionsOfInterest,StandardValue1,StandardValue2,PSE_Difference,JND_Difference,Multiplicator_PSE_Standard,Multiplicator_SD_Standard,SD_ResponseFunction,Mean_Variability_Between,SD_Variability_Between,Program
4,30,10,JuliaAIC_bobyqa_AGP0,1038.8967047418475,0.6669896787679892,0.020662369700371483,0.594,2,5,8,0,0,0,0.108,0.1,0.1,0.1,Julia
5,30,10,NelderMead_nAGQ0,1041.4924648232309,0.09872631229454999,0.9167750612331483,5.137080907821655,2,5,8,0,0,0,0.108,0.1,0.1,0.1,R
5,30,10,NelderMead_nAGQ1,1041.4657772672754,0.09860982576997326,0.9457702549921736,15.198060035705566,2,5,8,0,0,0,0.108,0.1,0.1,0.1,R
5,30,10,Bobyqa_nAGQ0,1041.4924648232309,0.09872631229454999,0.9167750612331483,5.125975131988525,2,5,8,0,0,0,0.108,0.1,0.1,0.1,R
5,30,10,Bobyqa_nAGQ1,1041.46577639261,0.09860964078349853,0.9459007481288206,9.104517936706543,2,5,8,0,0,0,0.108,0.1,0.1,0.1,R
5,30,10,nloptwrap_nAGQ0,1041.502971643507,0.09730906169746821,0.8983683325157845,0.3181178569793701,2,5,8,0,0,0,0.108,0.1,0.1,0.1,R
5,30,10,nloptwrap_nAGQ1,1041.474021433382,0.09774101643998626,0.9374918303186501,1.443910837173462,2,5,8,0,0,0,0.108,0.1,0.1,0.1,R
5,30,10,JuliaAIC_NeldMeader_AGP0,1041.4607643934783,0.06304088290642429,0.8926265391925446,5.978,2,5,8,0,0,0,0.108,0.1,0.1,0.1,Julia
5,30,10,JuliaAIC_bobyqa_AGP0,1041.460765864249,0.06304079892172997,0.8925440481888816,0.75,2,5,8,0,0,0,0.108,0.1,0.1,0.1,Julia
6,30,10,NelderMead_nAGQ0,1001.2258282528663,0.46226604147973904,0.6308819016768255,1.671428918838501,2,5,8,0,0,0,0.108,0.1,0.1,0.1,R
6,30,10,NelderMead_nAGQ1,1001.2122003599029,0.4515662106747484,0.7184503207176952,5.125185966491699,2,5,8,0,0,0,0.108,0.1,0.1,0.1,R
6,30,10,Bobyqa_nAGQ0,1001.2258282528663,0.46226604147973904,0.6308819016768255,1.6755421161651611,2,5,8,0,0,0,0.108,0.1,0.1,0.1,R
6,30,10,Bobyqa_nAGQ1,1001.2122003542587,0.4515534511639932,0.7184692574164168,3.342963933944702,2,5,8,0,0,0,0.108,0.1,0.1,0.1,R
6,30,10,nloptwrap_nAGQ0,1001.2257359481854,0.46228655265618934,0.6312667899102924,0.644564151763916,2,5,8,0,0,0,0.108,0.1,0.1,0.1,R
6,30,10,nloptwrap_nAGQ1,1001.2133516988213,0.4676858827022941,0.7275370961394125,1.611724853515625,2,5,8,0,0,0,0.108,0.1,0.1,0.1,R
6,30,10,JuliaAIC_NeldMeader_AGP0,1001.2004389436108,0.4135182300381055,0.5986299066920369,13.02,2,5,8,0,0,0,0.108,0.1,0.1,0.1,Julia
6,30,10,JuliaAIC_bobyqa_AGP0,1001.2639797333616,0.4130847653711999,0.5860682171641194,0.352,2,5,8,0,0,0,0.108,0.1,0.1,0.1,Julia
7,30,10,NelderMead_nAGQ0,985.4531829753715,0.8868987220870981,0.18277636059341418,1.524271011352539,2,5,8,0,0,0,0.108,0.1,0.1,0.1,R
7,30,10,NelderMead_nAGQ1,985.4340191670614,0.923137435369745,0.3286127845613864,5.358021020889282,2,5,8,0,0,0,0.108,0.1,0.1,0.1,R
7,30,10,Bobyqa_nAGQ0,985.4531829753715,0.8868987220870981,0.18277636059341418,1.511570930480957,2,5,8,0,0,0,0.108,0.1,0.1,0.1,R
7,30,10,Bobyqa_nAGQ1,985.4340191551936,0.9231333739304293,0.32860059986972223,3.248492956161499,2,5,8,0,0,0,0.108,0.1,0.1,0.1,R
7,30,10,nloptwrap_nAGQ0,985.3244802271622,0.8950118271851158,0.17608175816314195,0.5780210494995117,2,5,8,0,0,0,0.108,0.1,0.1,0.1,R
7,30,10,nloptwrap_nAGQ1,985.3060470516887,0.906198302386623,0.32309398552035096,1.8664989471435547,2,5,8,0,0,0,0.108,0.1,0.1,0.1,R
7,30,10,JuliaAIC_NeldMeader_AGP0,985.3226415708507,0.8805747032814591,0.12314645817874877,13.013,2,5,8,0,0,0,0.108,0.1,0.1,0.1,Julia
7,30,10,JuliaAIC_bobyqa_AGP0,985.3226415881988,0.8805812351722501,0.12316880400422932,0.562,2,5,8,0,0,0,0.108,0.1,0.1,0.1,Julia
8,30,10,NelderMead_nAGQ0,975.6582587517646,0.7886253234774505,0.001076339359952005,1.674889087677002,2,5,8,0,0,0,0.108,0.1,0.1,0.1,R
8,30,10,NelderMead_nAGQ1,975.6332577675344,0.797363803406531,0.050161223187477615,5.859246015548706,2,5,8,0,0,0,0.108,0.1,0.1,0.1,R
8,30,10,Bobyqa_nAGQ0,975.6582587517646,0.7886253234774505,0.001076339359952005,1.6558339595794678,2,5,8,0,0,0,0.108,0.1,0.1,0.1,R
8,30,10,Bobyqa_nAGQ1,975.6332374611796,0.7971528367291495,0.05016955006991136,3.7335050106048584,2,5,8,0,0,0,0.108,0.1,0.1,0.1,R
8,30,10,nloptwrap_nAGQ0,977.5266816302257,0.7467968761971941,0.001534684812106981,0.8678858280181885,2,5,8,0,0,0,0.108,0.1,0.1,0.1,R
8,30,10,nloptwrap_nAGQ1,977.5126665119252,0.7369407053206127,0.06045807209893837,1.9839069843292236,2,5,8,0,0,0,0.108,0.1,0.1,0.1,R
8,30,10,JuliaAIC_NeldMeader_AGP0,975.6532483867065,0.778321476378647,0.0005983075306415295,6.523,2,5,8,0,0,0,0.108,0.1,0.1,0.1,Julia
8,30,10,JuliaAIC_bobyqa_AGP0,975.6532495100688,0.7783552866936225,0.0005982898806618469,0.546,2,5,8,0,0,0,0.108,0.1,0.1,0.1,Julia
9,30,10,NelderMead_nAGQ0,949.7475301369436,0.3329092350021547,0.9069438915528815,1.827697992324829,2,5,8,0,0,0,0.108,0.1,0.1,0.1,R
9,30,10,NelderMead_nAGQ1,949.7053842819026,0.2996322135304703,0.9177463776665167,6.5607640743255615,2,5,8,0,0,0,0.108,0.1,0.1,0.1,R
9,30,10,Bobyqa_nAGQ0,949.7475301369436,0.3329092350021547,0.9069438915528815,1.7964279651641846,2,5,8,0,0,0,0.108,0.1,0.1,0.1,R
9,30,10,Bobyqa_nAGQ1,949.7053722422452,0.29946891636085027,0.9178210643722148,4.329787015914917,2,5,8,0,0,0,0.108,0.1,0.1,0.1,R
9,30,10,nloptwrap_nAGQ0,949.7476137219804,0.3330407359677929,0.9057598344630844,0.7203710079193115,2,5,8,0,0,0,0.108,0.1,0.1,0.1,R
9,30,10,nloptwrap_nAGQ1,949.7071909791438,0.30070785671068273,0.8950705636411861,2.0545008182525635,2,5,8,0,0,0,0.108,0.1,0.1,0.1,R
9,30,10,JuliaAIC_NeldMeader_AGP0,949.8421061444941,0.29388606086189745,0.9346778487986301,4.12,2,5,8,0,0,0,0.108,0.1,0.1,0.1,Julia
9,30,10,JuliaAIC_bobyqa_AGP0,949.7450166518263,0.2801797216651527,0.8966769314929797,0.594,2,5,8,0,0,0,0.108,0.1,0.1,0.1,Julia
10,30,10,NelderMead_nAGQ0,933.3108831272464,0.7486083952507191,0.17613251369085403,2.5150411128997803,2,5,8,0,0,0,0.108,0.1,0.1,0.1,R
10,30,10,NelderMead_nAGQ1,933.2917904189671,0.7770850644841145,0.3145303280527396,7.987269878387451,2,5,8,0,0,0,0.108,0.1,0.1,0.1,R
10,30,10,Bobyqa_nAGQ0,933.3108831272464,0.7486083952507191,0.17613251369085403,2.515038013458252,2,5,8,0,0,0,0.108,0.1,0.1,0.1,R
10,30,10,Bobyqa_nAGQ1,933.291685361652,0.776734225429259,0.31494928705604663,4.7813169956207275,2,5,8,0,0,0,0.108,0.1,0.1,0.1,R
10,30,10,nloptwrap_nAGQ0,933.5017765177018,0.7602209538524751,0.1506859840285818,0.3556699752807617,2,5,8,0,0,0,0.108,0.1,0.1,0.1,R
10,30,10,nloptwrap_nAGQ1,933.4860622749909,0.7705465609717423,0.28231013335237287,1.3478598594665527,2,5,8,0,0,0,0.108,0.1,0.1,0.1,R
10,30,10,JuliaAIC_NeldMeader_AGP0,933.308923399523,0.7349198194802669,0.15285698428951058,13.398,2,5,8,0,0,0,0.108,0.1,0.1,0.1,Julia
10,30,10,JuliaAIC_bobyqa_AGP0,933.3089237171317,0.734988212141219,0.15280368587362084,0.5,2,5,8,0,0,0,0.108,0.1,0.1,0.1,Julia
11,30,10,NelderMead_nAGQ0,1004.6495381857428,0.8082599177674715,0.23346375010167036,1.1260340213775635,2,5,8,0,0,0,0.108,0.1,0.1,0.1,R
11,30,10,NelderMead_nAGQ1,1004.6280603617353,0.8100247106684865,0.3067432975742939,5.344893932342529,2,5,8,0,0,0,0.108,0.1,0.1,0.1,R
11,30,10,Bobyqa_nAGQ0,1004.6495381857428,0.8082599177674715,0.23346375010167036,1.145960807800293,2,5,8,0,0,0,0.108,0.1,0.1,0.1,R
11,30,10,Bobyqa_nAGQ1,1004.6280603517904,0.8099937125173671,0.30674283728423657,2.8745040893554688,2,5,8,0,0,0,0.108,0.1,0.1,0.1,R
