iteration,reps,n,label,AIC,Pvalues_Accuracy,Pvalues_Interaction,Duration,Coefficients_Accuracy,Coefficients_Interaction,ConditionsOfInterest,StandardValue1,StandardValue2,PSE_Difference,JND_Difference,Multiplicator_PSE_Standard,Multiplicator_SD_Standard,SD_ResponseFunction,Mean_Variability_Between,SD_Variability_Between,Program,Duration_SimulateDataset
1,30,10,NelderMead_nAGQ0,1027.3490808373435,0.0065693542330320575,7.891778443694841e-11,1.4561128616333008,0.8663783525406873,0.8021181404913558,2,5,8,-0.025,0.05,0,0.108,0.1,0.2,0.2,R,0.061823129653930664
1,30,10,NelderMead_nAGQ1,1027.3319207883233,0.007886085395156133,0.003761089724926378,9.719013929367065,0.8797314601990931,0.8151232208478365,2,5,8,-0.025,0.05,0,0.108,0.1,0.2,0.2,R,0.061823129653930664
1,30,10,Bobyqa_nAGQ0,1027.3490808373435,0.0065693542330320575,7.891778443694841e-11,1.3972909450531006,0.8663783525406873,0.8021181404913558,2,5,8,-0.025,0.05,0,0.108,0.1,0.2,0.2,R,0.061823129653930664
1,30,10,Bobyqa_nAGQ1,1027.3319188030753,0.007881210982604999,0.0037648964501311,3.0079898834228516,0.8796606790584366,0.8150371890088274,2,5,8,-0.025,0.05,0,0.108,0.1,0.2,0.2,R,0.061823129653930664
1,30,10,nloptwrap_nAGQ0,1027.3491265063212,0.006559084689840996,7.762377247145379e-11,0.4607360363006592,0.8665031033107624,0.8024947479431045,2,5,8,-0.025,0.05,0,0.108,0.1,0.2,0.2,R,0.061823129653930664
1,30,10,nloptwrap_nAGQ1,1027.3490352820777,0.0085281405726987,0.004203453655701791,1.048163890838623,0.8665031033107624,0.8024947479431045,2,5,8,-0.025,0.05,0,0.108,0.1,0.2,0.2,R,0.061823129653930664
1,30,10,R: LRT,0.0,0.0,0.005167111321678929,0.4468381404876709,0.0,0.0,2,5,8,-0.025,0.05,0,0.108,0.1,0.2,0.2,R,0.061823129653930664
1,30,10,JuliaAIC_NeldMeader_AGP0,1026.8717667634055,0.006733128592503604,7.373126852164686e-11,8.901,0.8672192021216203,0.8026065466835144,2,5,8,-0.025,0.05,0,0.108,0.1,0.2,0.2,Julia,0.061823129653930664
1,30,10,JuliaAIC_bobyqa_AGP0,1026.8718090848968,0.006751200184680059,7.259585115586952e-11,1.618,0.8796733428854497,0.8082088921711787,2,5,8,-0.025,0.05,0,0.108,0.1,0.2,0.2,Julia,0.061823129653930664
1,30,10,JuliaAIC_NeldMeader_AGP1,1026.8544477903108,0.0056700696110690025,8.559018978279671e-11,26.986,0.7873661841173261,0.8049087234782349,2,5,8,-0.025,0.05,0,0.108,0.1,0.2,0.2,Julia,0.061823129653930664
