n,ConditionsOfInterest,StandardValue1,StandardValue2,reps,PSE_Difference,JND_Difference,Multiplicator_PSE_Standard,Multiplicator_SD_Standard,SD_ResponseFunction,Mean_Variability_Between,SD_Variability_Between,power_Accuracy,power_Precision,power_Accuracy_Twolevel,power_Precision_Twolevel,Duration
18,2,5,8,60,-0.05,0.1,0,0.108,0.1,0.1,0.1,1,0.51,1,0.35,665017 milliseconds
20,2,5,8,60,-0.05,0.1,0,0.108,0.1,0.1,0.1,1,0.48,1,0.24,720986 milliseconds
10,2,5,8,60,-0.05,0.2,0,0.108,0.1,0.1,0.1,0.96,0.69,1,0.5,294083 milliseconds
12,2,5,8,60,-0.05,0.2,0,0.108,0.1,0.1,0.1,0.97,0.76,1,0.61,426335 milliseconds
14,2,5,8,60,-0.05,0.2,0,0.108,0.1,0.1,0.1,0.97,0.87,1,0.7,474575 milliseconds
16,2,5,8,60,-0.05,0.2,0,0.108,0.1,0.1,0.1,1,0.84,1,0.7,599305 milliseconds
18,2,5,8,60,-0.05,0.2,0,0.108,0.1,0.1,0.1,1,0.82,1,0.78,644602 milliseconds
20,2,5,8,60,-0.05,0.2,0,0.108,0.1,0.1,0.1,1,0.92,1,0.78,721959 milliseconds
10,2,5,8,60,0,-0.2,0,0.108,0.1,0.1,0.1,0.05,0.76,0.01,0.58,322376 milliseconds
12,2,5,8,60,0,-0.2,0,0.108,0.1,0.1,0.1,0.07,0.83,0.01,0.72,568540 milliseconds
14,2,5,8,60,0,-0.2,0,0.108,0.1,0.1,0.1,0.07,0.94,0.01,0.83,1006921 milliseconds
16,2,5,8,60,0,-0.2,0,0.108,0.1,0.1,0.1,0.03,0.95,0,0.86,1139363 milliseconds
18,2,5,8,60,0,-0.2,0,0.108,0.1,0.1,0.1,0.02,0.96,0,0.87,895826 milliseconds
20,2,5,8,60,0,-0.2,0,0.108,0.1,0.1,0.1,0.02,0.98,0,0.94,789335 milliseconds
10,2,5,8,60,0,-0.1,0,0.108,0.1,0.1,0.1,0.03,0.48,0,0.27,302456 milliseconds
12,2,5,8,60,0,-0.1,0,0.108,0.1,0.1,0.1,0.05,0.47,0.01,0.3,419758 milliseconds
14,2,5,8,60,0,-0.1,0,0.108,0.1,0.1,0.1,0.02,0.55,0,0.3,509779 milliseconds
16,2,5,8,60,0,-0.1,0,0.108,0.1,0.1,0.1,0.02,0.47,0.02,0.26,623077 milliseconds
18,2,5,8,60,0,-0.1,0,0.108,0.1,0.1,0.1,0.03,0.59,0.01,0.45,681358 milliseconds
20,2,5,8,60,0,-0.1,0,0.108,0.1,0.1,0.1,0.05,0.59,0.01,0.26,798150 milliseconds
10,2,5,8,60,0,0,0,0.108,0.1,0.1,0.1,0.01,0.18,0,0.06,316541 milliseconds
12,2,5,8,60,0,0,0,0.108,0.1,0.1,0.1,0.04,0.15,0.01,0.03,766113 milliseconds
14,2,5,8,60,0,0,0,0.108,0.1,0.1,0.1,0.06,0.23,0.01,0.09,834051 milliseconds
16,2,5,8,60,0,0,0,0.108,0.1,0.1,0.1,0.03,0.22,0,0.07,606457 milliseconds
18,2,5,8,60,0,0,0,0.108,0.1,0.1,0.1,0.06,0.21,0,0.06,670201 milliseconds
20,2,5,8,60,0,0,0,0.108,0.1,0.1,0.1,0.01,0.27,0,0.05,759771 milliseconds
10,2,5,8,60,0,0.1,0,0.108,0.1,0.1,0.1,0.05,0.49,0.02,0.28,306005 milliseconds
12,2,5,8,60,0,0.1,0,0.108,0.1,0.1,0.1,0.04,0.36,0.02,0.22,427902 milliseconds
14,2,5,8,60,0,0.1,0,0.108,0.1,0.1,0.1,0.03,0.48,0,0.3,513121 milliseconds
16,2,5,8,60,0,0.1,0,0.108,0.1,0.1,0.1,0.06,0.45,0.01,0.19,589494 milliseconds
18,2,5,8,60,0,0.1,0,0.108,0.1,0.1,0.1,0.05,0.55,0.02,0.34,662925 milliseconds
20,2,5,8,60,0,0.1,0,0.108,0.1,0.1,0.1,0.04,0.56,0.02,0.32,1001383 milliseconds
10,2,5,8,60,0,0.2,0,0.108,0.1,0.1,0.1,0.04,0.73,0,0.54,716441 milliseconds
12,2,5,8,60,0,0.2,0,0.108,0.1,0.1,0.1,0.05,0.71,0.01,0.51,882436 milliseconds
14,2,5,8,60,0,0.2,0,0.108,0.1,0.1,0.1,0.02,0.76,0.01,0.65,976606 milliseconds
16,2,5,8,60,0,0.2,0,0.108,0.1,0.1,0.1,0.04,0.91,0,0.79,799379 milliseconds
18,2,5,8,60,0,0.2,0,0.108,0.1,0.1,0.1,0.05,0.92,0,0.82,654870 milliseconds
20,2,5,8,60,0,0.2,0,0.108,0.1,0.1,0.1,0.02,0.9,0.01,0.74,734315 milliseconds
10,2,5,8,60,0.05,-0.2,0,0.108,0.1,0.1,0.1,1,0.85,1,0.75,338340 milliseconds
12,2,5,8,60,0.05,-0.2,0,0.108,0.1,0.1,0.1,1,0.92,1,0.78,470731 milliseconds
14,2,5,8,60,0.05,-0.2,0,0.108,0.1,0.1,0.1,1,0.89,1,0.8,556926 milliseconds
16,2,5,8,60,0.05,-0.2,0,0.108,0.1,0.1,0.1,1,0.95,1,0.85,647272 milliseconds
18,2,5,8,60,0.05,-0.2,0,0.108,0.1,0.1,0.1,1,0.99,1,0.95,748265 milliseconds
20,2,5,8,60,0.05,-0.2,0,0.108,0.1,0.1,0.1,1,0.98,1,0.92,820773 milliseconds
10,2,5,8,60,0.05,-0.1,0,0.108,0.1,0.1,0.1,1,0.51,1,0.25,358246 milliseconds
12,2,5,8,60,0.05,-0.1,0,0.108,0.1,0.1,0.1,1,0.51,1,0.31,500333 milliseconds
14,2,5,8,60,0.05,-0.1,0,0.108,0.1,0.1,0.1,1,0.55,1,0.32,543699 milliseconds
16,2,5,8,60,0.05,-0.1,0,0.108,0.1,0.1,0.1,1,0.58,1,0.34,677122 milliseconds
18,2,5,8,60,0.05,-0.1,0,0.108,0.1,0.1,0.1,1,0.56,1,0.32,745642 milliseconds
20,2,5,8,60,0.05,-0.1,0,0.108,0.1,0.1,0.1,1,0.57,1,0.36,884283 milliseconds
10,2,5,8,60,0.05,0,0,0.108,0.1,0.1,0.1,1,0.33,1,0.09,343567 milliseconds
12,2,5,8,60,0.05,0,0,0.108,0.1,0.1,0.1,1,0.27,1,0.07,477125 milliseconds
14,2,5,8,60,0.05,0,0,0.108,0.1,0.1,0.1,1,0.14,1,0.04,552968 milliseconds
16,2,5,8,60,0.05,0,0,0.108,0.1,0.1,0.1,1,0.2,1,0.05,641646 milliseconds
18,2,5,8,60,0.05,0,0,0.108,0.1,0.1,0.1,1,0.24,1,0.05,693296 milliseconds
20,2,5,8,60,0.05,0,0,0.108,0.1,0.1,0.1,1,0.2,1,0.04,812872 milliseconds
10,2,5,8,60,0.05,0.1,0,0.108,0.1,0.1,0.1,1,0.41,1,0.18,332110 milliseconds
12,2,5,8,60,0.05,0.1,0,0.108,0.1,0.1,0.1,1,0.4,1,0.19,442229 milliseconds
14,2,5,8,60,0.05,0.1,0,0.108,0.1,0.1,0.1,1,0.43,1,0.24,518692 milliseconds
16,2,5,8,60,0.05,0.1,0,0.108,0.1,0.1,0.1,1,0.51,1,0.24,617254 milliseconds
18,2,5,8,60,0.05,0.1,0,0.108,0.1,0.1,0.1,1,0.52,1,0.27,712895 milliseconds
20,2,5,8,60,0.05,0.1,0,0.108,0.1,0.1,0.1,1,0.55,1,0.28,841155 milliseconds
10,2,5,8,60,0.05,0.2,0,0.108,0.1,0.1,0.1,0.97,0.74,1,0.56,420551 milliseconds
12,2,5,8,60,0.05,0.2,0,0.108,0.1,0.1,0.1,0.97,0.72,1,0.54,569962 milliseconds
14,2,5,8,60,0.05,0.2,0,0.108,0.1,0.1,0.1,1,0.87,1,0.74,639873 milliseconds
16,2,5,8,60,0.05,0.2,0,0.108,0.1,0.1,0.1,1,0.85,1,0.75,1344830 milliseconds
18,2,5,8,60,0.05,0.2,0,0.108,0.1,0.1,0.1,0.99,0.94,1,0.8,1289089 milliseconds
20,2,5,8,60,0.05,0.2,0,0.108,0.1,0.1,0.1,1,0.93,1,0.8,775448 milliseconds
10,2,5,8,60,0.1,-0.2,0,0.108,0.1,0.1,0.1,1,0.83,1,0.64,352005 milliseconds
12,2,5,8,60,0.1,-0.2,0,0.108,0.1,0.1,0.1,1,0.87,1,0.74,470651 milliseconds
14,2,5,8,60,0.1,-0.2,0,0.108,0.1,0.1,0.1,1,0.93,1,0.82,567386 milliseconds
16,2,5,8,60,0.1,-0.2,0,0.108,0.1,0.1,0.1,1,0.93,1,0.87,664041 milliseconds
18,2,5,8,60,0.1,-0.2,0,0.108,0.1,0.1,0.1,1,0.95,1,0.88,751571 milliseconds
20,2,5,8,60,0.1,-0.2,0,0.108,0.1,0.1,0.1,1,1,1,0.98,893547 milliseconds
10,2,5,8,60,0.1,-0.1,0,0.108,0.1,0.1,0.1,1,0.44,1,0.2,329008 milliseconds
12,2,5,8,60,0.1,-0.1,0,0.108,0.1,0.1,0.1,1,0.57,1,0.36,454749 milliseconds
14,2,5,8,60,0.1,-0.1,0,0.108,0.1,0.1,0.1,1,0.47,1,0.25,549098 milliseconds
16,2,5,8,60,0.1,-0.1,0,0.108,0.1,0.1,0.1,1,0.53,1,0.37,626315 milliseconds
18,2,5,8,60,0.1,-0.1,0,0.108,0.1,0.1,0.1,1,0.62,1,0.34,736449 milliseconds
20,2,5,8,60,0.1,-0.1,0,0.108,0.1,0.1,0.1,1,0.61,1,0.34,823649 milliseconds
10,2,5,8,60,0.1,0,0,0.108,0.1,0.1,0.1,1,0.2,1,0.04,330646 milliseconds
12,2,5,8,60,0.1,0,0,0.108,0.1,0.1,0.1,1,0.21,1,0.04,475897 milliseconds
14,2,5,8,60,0.1,0,0,0.108,0.1,0.1,0.1,1,0.23,1,0.09,567961 milliseconds
16,2,5,8,60,0.1,0,0,0.108,0.1,0.1,0.1,1,0.27,1,0.08,611031 milliseconds
