n,ConditionsOfInterest,StandardValue1,StandardValue2,reps,PSE_Difference,JND_Difference,Multiplicator_PSE_Standard,Multiplicator_SD_Standard,SD_ResponseFunction,Mean_Variability_Between,SD_Variability_Between,power_Accuracy,power_Precision,power_Accuracy_Twolevel,power_Precision_Twolevel,Duration
20,2,5,8,40,-0.025,-0.05,0,0.108,0.1,0.2,0.2,0.98,0.05,0.41,0.02,13.30415112
10,2,5,8,40,-0.025,0,0,0.108,0.1,0.2,0.2,0.59,0.04,0.09,0.05,6.63640602
12,2,5,8,40,-0.025,0,0,0.108,0.1,0.2,0.2,0.77,0.03,0.21,0.04,7.623865616
14,2,5,8,40,-0.025,0,0,0.108,0.1,0.2,0.2,0.82,0.06,0.29,0.04,9.077150365
16,2,5,8,40,-0.025,0,0,0.108,0.1,0.2,0.2,0.87,0.04,0.35,0.03,10.39630882
18,2,5,8,40,-0.025,0,0,0.108,0.1,0.2,0.2,0.93,0.05,0.35,0.04,12.19079532
20,2,5,8,40,-0.025,0,0,0.108,0.1,0.2,0.2,0.92,0.07,0.41,0.01,13.2256888
10,2,5,8,40,-0.025,0.05,0,0.108,0.1,0.2,0.2,0.67,0.04,0.15,0.01,6.298839768
12,2,5,8,40,-0.025,0.05,0,0.108,0.1,0.2,0.2,0.7,0.05,0.22,0.04,7.71316158
14,2,5,8,40,-0.025,0.05,0,0.108,0.1,0.2,0.2,0.83,0.03,0.22,0.03,9.136765317
16,2,5,8,40,-0.025,0.05,0,0.108,0.1,0.2,0.2,0.84,0.12,0.32,0.07,10.75495503
18,2,5,8,40,-0.025,0.05,0,0.108,0.1,0.2,0.2,0.86,0.08,0.29,0.04,11.92834433
20,2,5,8,40,-0.025,0.05,0,0.108,0.1,0.2,0.2,0.9,0.04,0.31,0.05,13.66528598
10,2,5,8,40,-0.025,0.1,0,0.108,0.1,0.2,0.2,0.72,0.08,0.22,0.06,6.490249217
12,2,5,8,40,-0.025,0.1,0,0.108,0.1,0.2,0.2,0.56,0.16,0.12,0.11,7.6479876
14,2,5,8,40,-0.025,0.1,0,0.108,0.1,0.2,0.2,0.77,0.13,0.28,0.16,9.158193084
16,2,5,8,40,-0.025,0.1,0,0.108,0.1,0.2,0.2,0.79,0.15,0.29,0.09,10.5271235
18,2,5,8,40,-0.025,0.1,0,0.108,0.1,0.2,0.2,0.91,0.13,0.27,0.09,12.24919543
10,2,5,8,40,0,-0.1,0,0.108,0.1,0.2,0.2,0.05,0.05,0,0.14,6.315584918
12,2,5,8,40,0,-0.1,0,0.108,0.1,0.2,0.2,0.01,0.12,0,0.1,7.886991064
14,2,5,8,40,0,-0.1,0,0.108,0.1,0.2,0.2,0.02,0.1,0,0.14,9.180846282
16,2,5,8,40,0,-0.1,0,0.108,0.1,0.2,0.2,0.01,0.21,0,0.17,10.67486757
18,2,5,8,40,0,-0.1,0,0.108,0.1,0.2,0.2,0.03,0.15,0,0.13,11.62873627
20,2,5,8,40,0,-0.1,0,0.108,0.1,0.2,0.2,0.02,0.21,0,0.18,13.62302488
10,2,5,8,40,0,-0.05,0,0.108,0.1,0.2,0.2,0.01,0.1,0,0.08,6.353198699
12,2,5,8,40,0,-0.05,0,0.108,0.1,0.2,0.2,0.01,0.08,0,0.07,7.542321567
14,2,5,8,40,0,-0.05,0,0.108,0.1,0.2,0.2,0.03,0.07,0,0.04,8.999889449
16,2,5,8,40,0,-0.05,0,0.108,0.1,0.2,0.2,0.02,0.11,0,0.08,10.75268033
18,2,5,8,40,0,-0.05,0,0.108,0.1,0.2,0.2,0.02,0.05,0,0.08,11.77496506
20,2,5,8,40,0,-0.05,0,0.108,0.1,0.2,0.2,0.02,0.04,0,0.04,13.55310115
10,2,5,8,40,0,0,0,0.108,0.1,0.2,0.2,0.01,0.08,0,0.05,6.333935201
12,2,5,8,40,0,0,0,0.108,0.1,0.2,0.2,0.02,0.02,0,0.02,7.720403035
14,2,5,8,40,0,0,0,0.108,0.1,0.2,0.2,0.02,0.02,0,0.05,9.156118516
16,2,5,8,40,0,0,0,0.108,0.1,0.2,0.2,0.01,0.04,0,0.03,10.59164643
18,2,5,8,40,0,0,0,0.108,0.1,0.2,0.2,0.02,0.04,0,0.04,11.83857645
20,2,5,8,40,0,0,0,0.108,0.1,0.2,0.2,0.01,0.09,0,0.03,13.08598438
10,2,5,8,40,0,0.05,0,0.108,0.1,0.2,0.2,0.01,0.04,0,0.05,6.491587285
12,2,5,8,40,0,0.05,0,0.108,0.1,0.2,0.2,0.02,0.07,0,0.06,7.811327748
14,2,5,8,40,0,0.05,0,0.108,0.1,0.2,0.2,0.02,0.08,0,0.06,9.094213367
16,2,5,8,40,0,0.05,0,0.108,0.1,0.2,0.2,0.01,0.13,0,0.04,10.17535013
18,2,5,8,40,0,0.05,0,0.108,0.1,0.2,0.2,0.01,0.06,0,0.06,11.80605963
20,2,5,8,40,0,0.05,0,0.108,0.1,0.2,0.2,0.04,0.08,0,0.05,13.43589631
10,2,5,8,40,0,0.1,0,0.108,0.1,0.2,0.2,0.01,0.05,0,0.06,6.2739471
12,2,5,8,40,0,0.1,0,0.108,0.1,0.2,0.2,0.01,0.06,0,0.09,7.681558414
14,2,5,8,40,0,0.1,0,0.108,0.1,0.2,0.2,0,0.05,0,0.07,9.006549867
16,2,5,8,40,0,0.1,0,0.108,0.1,0.2,0.2,0.02,0.13,0,0.16,10.43156726
18,2,5,8,40,0,0.1,0,0.108,0.1,0.2,0.2,0,0.11,0,0.1,11.59827727
20,2,5,8,40,0,0.1,0,0.108,0.1,0.2,0.2,0.05,0.09,0,0.06,13.29794408
10,2,5,8,40,0.025,-0.1,0,0.108,0.1,0.2,0.2,0.63,0.05,0.12,0.1,6.531199002
12,2,5,8,40,0.025,-0.1,0,0.108,0.1,0.2,0.2,0.81,0.09,0.21,0.12,7.657684465
14,2,5,8,40,0.025,-0.1,0,0.108,0.1,0.2,0.2,0.8,0.13,0.27,0.15,9.100198619
16,2,5,8,40,0.025,-0.1,0,0.108,0.1,0.2,0.2,0.89,0.14,0.32,0.13,10.47730683
18,2,5,8,40,0.025,-0.1,0,0.108,0.1,0.2,0.2,0.91,0.18,0.34,0.19,12.11983151
20,2,5,8,40,0.025,-0.1,0,0.108,0.1,0.2,0.2,0.91,0.17,0.4,0.19,13.64485957
10,2,5,8,40,0.025,-0.05,0,0.108,0.1,0.2,0.2,0.61,0.11,0.15,0.04,6.561576084
12,2,5,8,40,0.025,-0.05,0,0.108,0.1,0.2,0.2,0.74,0.05,0.18,0.07,7.68275305
14,2,5,8,40,0.025,-0.05,0,0.108,0.1,0.2,0.2,0.82,0.03,0.24,0.03,8.96725655
16,2,5,8,40,0.025,-0.05,0,0.108,0.1,0.2,0.2,0.91,0.04,0.29,0.07,10.31397062
18,2,5,8,40,0.025,-0.05,0,0.108,0.1,0.2,0.2,0.9,0.07,0.37,0.06,11.59909688
20,2,5,8,40,0.025,-0.05,0,0.108,0.1,0.2,0.2,0.87,0.06,0.34,0.1,13.29634486
10,2,5,8,40,0.025,0,0,0.108,0.1,0.2,0.2,0.65,0.03,0.11,0.05,6.442570933
12,2,5,8,40,0.025,0,0,0.108,0.1,0.2,0.2,0.71,0,0.19,0.02,7.873030198
14,2,5,8,40,0.025,0,0,0.108,0.1,0.2,0.2,0.79,0,0.21,0.05,9.298947652
16,2,5,8,40,0.025,0,0,0.108,0.1,0.2,0.2,0.91,0.05,0.26,0.02,10.3755191
18,2,5,8,40,0.025,0,0,0.108,0.1,0.2,0.2,0.95,0.07,0.31,0.06,12.00714958
20,2,5,8,40,0.025,0,0,0.108,0.1,0.2,0.2,0.95,0.02,0.42,0.03,13.77686475
10,2,5,8,40,0.025,0.05,0,0.108,0.1,0.2,0.2,0.62,0.03,0.13,0.1,6.353183881
12,2,5,8,40,0.025,0.05,0,0.108,0.1,0.2,0.2,0.83,0.04,0.2,0.05,7.528309381
14,2,5,8,40,0.025,0.05,0,0.108,0.1,0.2,0.2,0.79,0.05,0.17,0.1,8.966819417
