n,ConditionsOfInterest,StandardValue1,StandardValue2,reps,PSE_Difference,JND_Difference,Multiplicator_PSE_Standard,Multiplicator_SD_Standard,SD_ResponseFunction,Mean_Variability_Between,SD_Variability_Between,power_Accuracy,power_Precision,power_Accuracy_Twolevel,power_Precision_Twolevel,Duration
10,2,5,8,100,-0.025,0.05,0,0.108,0.1,0.1,0.1,1.0,0.08,0.81,0.11,720620 milliseconds
12,2,5,8,100,-0.025,0.05,0,0.108,0.1,0.1,0.1,1.0,0.11,0.82,0.13,938505 milliseconds
14,2,5,8,100,-0.025,0.05,0,0.108,0.1,0.1,0.1,1.0,0.1,0.94,0.12,1080296 milliseconds
16,2,5,8,100,-0.025,0.05,0,0.108,0.1,0.1,0.1,1.0,0.1,1.0,0.13,1268650 milliseconds
18,2,5,8,100,-0.025,0.05,0,0.108,0.1,0.1,0.1,1.0,0.11,0.98,0.15,1392949 milliseconds
20,2,5,8,100,-0.025,0.05,0,0.108,0.1,0.1,0.1,1.0,0.12,0.99,0.18,1587941 milliseconds
10,2,5,8,100,-0.025,0.1,0,0.108,0.1,0.1,0.1,1.0,0.17,0.8,0.23,729767 milliseconds
12,2,5,8,100,-0.025,0.1,0,0.108,0.1,0.1,0.1,1.0,0.21,0.87,0.3,849212 milliseconds
14,2,5,8,100,-0.025,0.1,0,0.108,0.1,0.1,0.1,1.0,0.29,0.95,0.34,1103842 milliseconds
16,2,5,8,100,-0.025,0.1,0,0.108,0.1,0.1,0.1,1.0,0.32,0.96,0.37,1220676 milliseconds
18,2,5,8,100,-0.025,0.1,0,0.108,0.1,0.1,0.1,1.0,0.39,0.95,0.5,1420482 milliseconds
20,2,5,8,100,-0.025,0.1,0,0.108,0.1,0.1,0.1,1.0,0.44,0.98,0.56,1510527 milliseconds
10,2,5,8,100,0.0,-0.1,0,0.108,0.1,0.1,0.1,1.0,0.28,0.0,0.36,779423 milliseconds
12,2,5,8,100,0.0,-0.1,0,0.108,0.1,0.1,0.1,1.0,0.34,0.0,0.43,910626 milliseconds
14,2,5,8,100,0.0,-0.1,0,0.108,0.1,0.1,0.1,1.0,0.4,0.0,0.45,1138309 milliseconds
16,2,5,8,100,0.0,-0.1,0,0.108,0.1,0.1,0.1,1.0,0.34,0.0,0.46,1290923 milliseconds
18,2,5,8,100,0.0,-0.1,0,0.108,0.1,0.1,0.1,1.0,0.48,0.0,0.54,1493901 milliseconds
20,2,5,8,100,0.0,-0.1,0,0.108,0.1,0.1,0.1,1.0,0.54,0.0,0.56,1683381 milliseconds
10,2,5,8,100,0.0,0.05,0,0.108,0.1,0.1,0.1,1.0,0.09,0.0,0.1,709503 milliseconds
12,2,5,8,100,0.0,0.05,0,0.108,0.1,0.1,0.1,1.0,0.11,0.01,0.17,911698 milliseconds
14,2,5,8,100,0.0,0.05,0,0.108,0.1,0.1,0.1,1.0,0.14,0.01,0.18,1078616 milliseconds
16,2,5,8,100,0.0,0.05,0,0.108,0.1,0.1,0.1,1.0,0.11,0.0,0.12,1268109 milliseconds
18,2,5,8,100,0.0,0.05,0,0.108,0.1,0.1,0.1,1.0,0.12,0.0,0.15,1551729 milliseconds
20,2,5,8,100,0.0,0.05,0,0.108,0.1,0.1,0.1,1.0,0.16,0.0,0.16,1549533 milliseconds
10,2,5,8,100,0.0,0.0,0,0.108,0.1,0.1,0.1,1.0,0.03,0.01,0.04,786577 milliseconds
12,2,5,8,100,0.0,0.0,0,0.108,0.1,0.1,0.1,1.0,0.03,0.0,0.06,877786 milliseconds
